Year,Sex,Age,Incidence Rate,Incident Cases,Population At-Risk,Standard Error
2004,BOTH,00to39,900.205,14535.0,1614632.2222,7.43
2004,BOTH,40to44,468.568,1218.0,259941.15237,13.43
2004,BOTH,45to49,412.404,1014.0,245875.64258,12.95
2004,BOTH,50to54,395.994,785.0,198235.2247,14.13
2004,BOTH,55to59,476.137,744.0,156257.70477,17.46
2004,BOTH,60to64,494.903,554.0,111941.20079,21.03
2004,BOTH,65to69,603.508,530.0,87819.835827,26.21
2004,BOTH,70to74,630.174,482.0,76486.788263,28.7
2004,BOTH,75to79,566.906,339.0,59798.294765,30.79
2004,BOTH,80to84,582.263,246.0,42248.94751,37.12
2004,BOTH,85+,741.802,246.0,33162.469984,47.3
2004,BOTH,ALL,716.914,20693.0,2886399.4837,4.98
2004,FEMALE,00to39,896.034,7046.0,786354.43766,10.63
2004,FEMALE,40to44,598.102,750.0,125396.61198,21.84
2004,FEMALE,45to49,547.862,645.0,117730.28897,21.57
2004,FEMALE,50to54,481.987,460.0,95438.263601,22.47
2004,FEMALE,55to59,576.356,438.0,75994.744333,27.54
2004,FEMALE,60to64,580.525,318.0,54778.044939,32.55
2004,FEMALE,65to69,668.567,297.0,44423.395302,38.79
2004,FEMALE,70to74,622.824,246.0,39497.492903,39.71
2004,FEMALE,75to79,574.33,189.0,32907.927494,41.78
2004,FEMALE,80to84,579.345,148.0,25546.07368,47.62
2004,FEMALE,85+,711.621,162.0,22764.914584,55.91
2004,FEMALE,ALL,753.009,10699.0,1420832.1954,7.28
2004,MALE,00to39,904.165,7489.0,828277.78453,10.4
2004,MALE,40to44,347.84,468.0,134544.54039,16.08
2004,MALE,45to49,287.954,369.0,128145.35361,14.99
2004,MALE,50to54,316.157,325.0,102796.9611,17.54
2004,MALE,55to59,381.247,306.0,80262.960436,21.79
2004,MALE,60to64,412.853,236.0,57163.155854,26.87
2004,MALE,65to69,536.91,233.0,43396.440526,35.17
2004,MALE,70to74,638.022,236.0,36989.29536,41.53
2004,MALE,75to79,557.821,150.0,26890.367271,45.55
2004,MALE,80to84,586.725,98.0,16702.873831,59.27
2004,MALE,85+,807.882,84.0,10397.5554,88.15
2004,MALE,ALL,681.92,9994.0,1465567.2883,6.82
2005,BOTH,00to39,957.029,15689.0,1639344.4229,7.6
2005,BOTH,40to44,454.24,1179.0,259554.29762,13.23
2005,BOTH,45to49,452.347,1141.0,252240.18236,13.39
2005,BOTH,50to54,415.613,870.0,209329.17784,14.09
2005,BOTH,55to59,477.389,791.0,165693.00526,16.97
2005,BOTH,60to64,509.46,597.0,117182.8058,20.85
2005,BOTH,65to69,558.657,501.0,89679.337531,24.96
2005,BOTH,70to74,579.2,446.0,77002.799642,27.43
2005,BOTH,75to79,606.363,375.0,61844.095304,31.31
2005,BOTH,80to84,640.747,277.0,43230.779955,38.5
2005,BOTH,85+,623.552,220.0,35281.755727,42.04
2005,BOTH,ALL,748.581,22086.0,2950382.66,5.04
2005,FEMALE,00to39,949.343,7579.0,798341.21735,10.85
2005,FEMALE,40to44,563.23,706.0,125348.36386,21.2
2005,FEMALE,45to49,578.115,699.0,120910.17828,21.87
2005,FEMALE,50to54,543.637,546.0,100434.71473,23.27
2005,FEMALE,55to59,598.128,480.0,80250.430706,27.3
2005,FEMALE,60to64,587.141,336.0,57226.470172,32.03
2005,FEMALE,65to69,651.671,295.0,45268.262249,37.94
2005,FEMALE,70to74,598.388,238.0,39773.514262,38.79
2005,FEMALE,75to79,644.68,217.0,33660.108072,43.76
2005,FEMALE,80to84,576.559,150.0,26016.430546,47.08
2005,FEMALE,85+,612.704,148.0,24155.204536,50.36
2005,FEMALE,ALL,785.043,11394.0,1451384.8948,7.35
2005,MALE,00to39,964.325,8110.0,841003.20559,10.66
2005,MALE,40to44,352.443,473.0,134205.93376,16.21
2005,MALE,45to49,336.557,442.0,131330.00409,16.01
2005,MALE,50to54,297.536,324.0,108894.46311,16.53
2005,MALE,55to59,363.987,311.0,85442.574554,20.64
2005,MALE,60to64,435.317,261.0,59956.335625,26.95
2005,MALE,65to69,463.848,206.0,44411.075282,32.32
2005,MALE,70to74,558.7,208.0,37229.28538,38.74
2005,MALE,75to79,560.602,158.0,28183.987232,44.6
2005,MALE,80to84,737.757,127.0,17214.349409,65.47
2005,MALE,85+,647.101,72.0,11126.551192,76.26
2005,MALE,ALL,713.277,10692.0,1498997.7652,6.9
2006,BOTH,00to39,828.22,13920.0,1680712.1056,6.99
2006,BOTH,40to44,409.992,1052.0,256590.65959,12.64
2006,BOTH,45to49,403.823,1042.0,258033.8259,12.51
2006,BOTH,50to54,372.765,827.0,221855.84338,12.96
2006,BOTH,55to59,395.714,692.0,174873.72806,15.04
2006,BOTH,60to64,488.211,602.0,123307.32809,19.9
2006,BOTH,65to69,522.534,486.0,93008.369828,23.7
2006,BOTH,70to74,515.478,400.0,77597.890796,25.77
2006,BOTH,75to79,603.873,385.0,63755.178308,30.78
2006,BOTH,80to84,579.781,258.0,44499.541208,36.1
2006,BOTH,85+,667.764,251.0,37588.15025,42.15
2006,BOTH,ALL,656.866,19915.0,3031822.621,4.65
2006,FEMALE,00to39,811.509,6632.0,817243.12291,9.92
2006,FEMALE,40to44,526.393,649.0,123291.89389,20.66
2006,FEMALE,45to49,510.19,631.0,123679.53008,20.31
2006,FEMALE,50to54,448.505,476.0,106130.29831,20.56
2006,FEMALE,55to59,474.575,400.0,84285.935887,23.73
2006,FEMALE,60to64,572.691,345.0,60241.909741,30.83
2006,FEMALE,65to69,585.244,274.0,46818.111454,35.36
2006,FEMALE,70to74,570.426,229.0,40145.446919,37.69
2006,FEMALE,75to79,594.957,205.0,34456.281843,41.55
2006,FEMALE,80to84,582.965,155.0,26588.207016,46.82
2006,FEMALE,85+,626.091,160.0,25555.371211,49.5
2006,FEMALE,ALL,682.327,10156.0,1488436.1093,6.77
2006,MALE,00to39,844.037,7288.0,863468.98272,9.85
2006,MALE,40to44,302.328,403.0,133298.7657,15.06
2006,MALE,45to49,305.908,411.0,134354.29582,15.09
