Geography,Year,Sex,Age,Prevalence Rate,Prevalent Cases,Population,Standard Error,Standard Score,Alberta Rate
AB,2004,BOTH,00to39,12.603,232843.85943,1847476.0816,0.02442,0.0,12.60335
AB,2004,BOTH,40to44,7.8197,22050.847633,281992.0,0.05056,0.0,7.81967
AB,2004,BOTH,45to49,7.7725,20721.35742,266597.0,0.05185,0.0,7.77254
AB,2004,BOTH,50to54,7.9166,17042.7753,215278.0,0.05819,0.0,7.91664
AB,2004,BOTH,55to59,8.0956,13764.295231,170022.0,0.06615,0.0,8.0956
AB,2004,BOTH,60to64,8.7892,10786.799207,122728.0,0.08082,0.0,8.78919
AB,2004,BOTH,65to69,9.4979,9216.3603512,97036.196178,0.09412,0.0,9.49786
AB,2004,BOTH,70to74,10.304,8786.2117374,85273.0,0.10411,0.0,10.30363
AB,2004,BOTH,75to79,11.163,7513.7052352,67312.0,0.12138,0.0,11.1625
AB,2004,BOTH,80to84,11.678,5586.0524899,47835.0,0.14684,0.0,11.67775
AB,2004,BOTH,85+,10.659,3956.530016,37119.0,0.16017,0.0,10.65904
AB,2004,BOTH,ALL,10.877,352268.79405,3238668.2778,0.0173,0.0,10.87696
AB,2004,FEMALE,00to39,11.912,106338.5892,892693.02686,0.03428,0.0,11.91211
AB,2004,FEMALE,40to44,9.5041,13169.388022,138566.0,0.07878,0.0,9.50405
AB,2004,FEMALE,45to49,9.6669,12598.711032,130329.0,0.08186,0.0,9.66685
AB,2004,FEMALE,50to54,9.7894,10356.736399,105795.0,0.09136,0.0,9.78944
AB,2004,FEMALE,55to59,10.02,8462.2556672,84457.0,0.10332,0.0,10.0196
AB,2004,FEMALE,60to64,10.66,6535.955061,61314.0,0.12463,0.0,10.65981
AB,2004,FEMALE,65to69,10.68,5311.6046983,49735.0,0.13849,0.0,10.67981
AB,2004,FEMALE,70to74,11.072,4917.507097,44415.0,0.14889,0.0,11.07173
AB,2004,FEMALE,75to79,11.304,4194.0725065,37102.0,0.16439,0.0,11.30417
AB,2004,FEMALE,80to84,11.529,3328.9263204,28875.0,0.18795,0.0,11.52875
AB,2004,FEMALE,85+,10.441,2654.0854158,25419.0,0.1918,0.0,10.44134
AB,2004,FEMALE,ALL,11.126,177867.83142,1598700.0269,0.02487,0.0,11.12578
AB,2004,MALE,00to39,13.25,126505.27022,954783.05476,0.0347,0.0,13.24964
AB,2004,MALE,40to44,6.1924,8881.4596109,143426.0,0.06364,0.0,6.19236
