Date,Description,Debit ($),Credit ($),Balance ($)
01-02-12,Balance Forward,,,45.92
01-02-12,AFT Gobeys Grocery,,321.13,367.05
01-02-12,AFT RESP,40.00,,327.05
01-02-12,DPmt Purchase U42153 CITY TRANSIT,73.50,,253.55
02-02-12,DPmt Purchase U56487 BURGER & FRIES,6.51,,247.04
04-02-12,Internet Bill Pay 467341 CELLULAR SERVICE,30.15,,216.89
06-02-12,DPmt Purchase U45862 SUBS & SUCH,4.56,,212.33
07-02-12,ATM Dep Own 056897,,40.00,252.33
07-02-12,DPmt Purchase U45648 BURGER & FRIES,10.53,,241.80
09-02-12,DPmt Purchase U423465 WOK INN,5.34,,236.46
10-02-12,"DPmt Purchase
U555468 SOCCER SHOES INC",65.89,,170.57
12-02-12,ATM Dep Own 056648,,80.00,250.57
13-02-12,ATM Dep Own 059874,,60.00,310.57
15-02-12,AFT Gobeys Grocery,,321.13,631.70
15-02-12,"ATMWtd AB
ATM475638",180.00,,451.70
15-02-12,AFT RESP,40.00,,411.70
17-02-12,DPmt Purchase U454697 SUBS & SUCH,5.89,,405.81
18-02-12,"DPmt Purchase U597845 BURGER &
FRIES",6.43,,399.38
18-02-12,DPmt Purchase U645121 GUITAR AIDS,53.64,,345.74
19-02-12,"ATMWtd AB
ATM095124",20.00,,325.74
19-02-12,SERVICE CHARGE,1.50,,324.24
21-02-12,ATM Dep Own 094576,,60.00,384.24
22-02-12,DPmt Purchase U561481 PIZZA 123,3.49,,380.75
23-02-12,DPmt Purchase U612485 WOK INN,5.34,,375.41
23-02-12,"ATMWtd AB
ATM165478",50.00,,325.41
23-02-12,SERVICE CHARGE,1.50,,323.91
25-02-12,"DPmt Purchase U649513 OLD ARMY
FASHIONS",123.56,,200.35
27-02-12,ATM Dep Own 157653,,100.00,300.35
28-02-12,ATM Dep Own 099945,,60.00,360.35
