Date	High	Low	Open	Close	Volume
5/15/2018	253.00	252.00	252.00	252.00	200
5/14/2018	268.70	255.00	268.70	258.50	2539
4/27/2018	267.00	248.00	264.00	250.00	1545
3/27/2018	269.90	246.50	246.50	269.90	941
2/26/2018	255.00	239.00	239.00	254.50	5675
1/30/2018	258.90	231.00	234.11	258.90	4096
12/26/2017	242.00	231.11	236.00	231.11	2318
11/27/2017	238.36	230.00	233.17	233.63	3987
10/27/2017	237.70	226.31	237.70	236.00	3119
9/25/2017	249.00	226.11	226.11	230.00	2011
8/30/2017	243.00	226.60	228.01	243.00	4455
7/31/2017	242.00	226.00	226.00	236.05	3018
6/29/2017	241.00	230.00	237.99	241.00	3442
5/30/2017	235.00	204.00	206.01	235.00	8302
4/28/2017	208.95	202.00	207.85	202.01	3405
3/29/2017	210.00	201.00	201.00	206.89	6305
2/26/2017	205.00	193.09	193.09	203.75	8463
1/30/2017	198.74	193.00	197.79	198.25	4398
12/28/2016	197.30	185.75	193.02	196.90	9564
11/29/2016	200.00	189.10	193.00	200.00	7349
10/31/2016	197.00	195.00	195.50	196.00	1502
9/29/2016	199.50	193.55	196.06	194.00	3109
8/26/2016	201.95	191.10	194.00	201.00	4359
7/29/2016	199.97	193.99	195.48	194.00	4303
6/29/2016	200.00	190.70	195.59	195.48	4467
5/27/2016	201.97	191.00	198.00	194.60	6174
4/28/2016	202.83	195.25	202.35	201.50	4467
3/17/2016	209.40	195.00	201.50	199.00	7341
2/22/2016	208.90	184.63	184.63	208.90	5206
1/28/2016	201.00	173.00	199.00	194.85	4000
12/29/2015	208.00	185.69	200.00	200.00	4621
11/26/2015	213.50	175.00	213.50	204.50	6615
10/30/2015	230.00	215.00	222.00	216.50	4424
9/30/2015	230.00	215.00	220.00	222.00	1513
8/28/2015	235.00	180.00	221.00	235.00	3938
7/28/2015	225.40	213.00	225.40	225.00	3231
6/30/2015	238.30	218.00	218.00	225.40	2826
5/26/2015	240.00	220.33	239.00	220.33	4681
4/30/2015	241.00	225.00	233.00	239.49	4256
3/31/2015	245.47	226.00	245.47	235.05	4054
2/26/2015	244.85	230.00	230.00	244.00	6945
1/22/2015	246.00	223.00	241.00	226.00	5712
12/28/2014	260.00	202.00	235.00	250.00	10322
11/27/2014	255.00	198.90	198.90	240.00	9391
10/31/2014	203.00	176.05	180.01	192.00	7360
9/23/2014	195.00	173.00	173.00	195.00	7395
8/29/2014	194.00	156.00	163.00	171.90	13347
7/31/2014	160.00	141.41	142.28	160.00	7871
6/30/2014	147.01	142.00	142.07	146.75	2914
5/26/2014	144.00	135.50	135.50	142.07	3973
4/30/2014	146.00	136.00	142.90	138.00	4884
3/28/2014	164.07	131.25	132.00	140.00	15421
2/27/2014	130.00	120.00	123.00	130.00	11660
1/30/2014	126.75	121.07	124.19	123.10	9518
12/30/2013	124.40	117.00	123.50	124.40	8886
11/27/2013	127.93	122.00	124.60	123.49	12630
10/31/2013	127.99	122.04	127.99	124.68	11531
9/30/2013	128.00	110.99	110.99	128.00	9993
8/30/2013	109.85	98.00	98.27	109.85	13179
7/30/2013	99.99	92.50	92.50	98.25	8503
6/27/2013	96.55	88.16	95.03	92.54	6868
5/29/2013	98.99	86.92	90.53	96.76	16961
4/29/2013	94.95	85.71	87.00	91.50	8195
3/28/2013	86.00	80.00	82.47	86.00	11208
2/27/2013	82.59	79.55	79.82	81.05	7860
1/30/2013	82.00	78.30	80.80	79.82	11064
12/30/2012	81.99	74.68	75.10	81.00	10419
11/29/2012	82.69	75.11	81.00	75.50	16636
10/30/2012	81.41	78.11	80.25	80.40	7742
9/28/2012	82.00	78.00	80.74	79.85	8208
8/31/2012	80.00	74.17	76.69	80.00	12450
7/30/2012	78.14	74.03	78.11	74.59	4851
6/28/2012	78.11	76.00	76.45	76.51	7970
5/24/2012	78.99	74.10	76.75	76.50	7274
4/30/2012	76.99	72.20	72.50	75.75	6706
3/29/2012	73.29	70.70	71.75	72.15	7496
2/28/2012	74.99	71.06	71.51	71.75	15335
1/30/2012	74.25	70.35	73.01	72.35	6895
12/29/2011	74.75	71.76	72.24	72.51	5526
11/29/2011	73.50	67.50	67.50	70.35	6643
10/31/2011	69.19	63.50	65.00	66.01	4642
9/30/2011	72.00	64.00	66.75	68.00	11558
8/31/2011	72.24	61.01	71.40	67.00	15819
7/29/2011	72.10	67.82	71.30	72.10	7726
6/30/2011	72.97	70.00	72.44	71.15	5552
5/31/2011	75.60	69.75	70.25	72.44	20550
4/29/2011	77.08	69.01	74.43	70.10	9864
3/31/2011	77.40	70.02	70.25	73.95	9719
2/27/2011	75.48	70.00	71.10	71.00	14037
1/27/2011	76.00	71.25	74.98	71.25	8241
12/28/2010	75.99	71.50	72.01	75.00	6488
11/29/2010	73.00	65.01	65.01	73.00	32534
10/29/2010	66.97	63.23	66.97	65.30	7356
9/30/2010	67.99	63.72	64.00	65.90	3789
8/31/2010	67.00	64.00	64.37	65.00	5785
7/30/2010	64.91	64.35	64.85	64.35	1554
6/30/2010	70.00	64.51	66.89	64.55	9928
5/26/2010	68.30	64.10	66.35	64.64	10637
4/30/2010	69.99	65.01	65.25	67.07	7009
3/31/2010	66.89	62.75	64.99	66.89	9048
2/25/2010	65.99	60.00	63.51	63.90	9852
1/27/2010	65.37	62.50	62.87	64.00	10342
12/30/2009	62.00	60.01	62.00	61.74	6894
11/29/2009	66.50	60.50	62.25	62.24	11260
10/30/2009	64.23	62.00	64.23	62.00	3965
9/30/2009	65.99	63.55	65.98	64.23	4409
8/26/2009	65.94	61.90	62.59	63.77	8995
7/31/2009	64.49	61.65	63.00	62.79	2694
6/29/2009	68.99	61.00	61.01	65.00	9107
5/29/2009	65.00	57.00	57.00	61.00	10615
4/30/2009	65.00	55.01	57.26	56.00	5755
3/31/2009	60.00	50.05	54.70	56.01	8471
2/26/2009	55.40	50.01	51.24	50.01	7301
1/29/2009	57.00	46.50	46.50	50.15	7064
12/30/2008	52.00	41.41	45.00	48.29	9283
11/27/2008	56.98	41.00	53.48	49.00	8218
10/31/2008	59.50	48.00	53.21	50.45	13652
9/30/2008	64.05	53.60	61.01	53.60	12855
8/29/2008	64.90	60.00	64.49	62.51	6855
7/31/2008	73.45	61.56	68.61	61.56	9430
6/30/2008	75.49	68.01	74.01	68.11	7718
5/30/2008	80.00	74.00	79.88	74.82	10375
4/30/2008	82.45	77.02	77.50	79.89	6361
3/31/2008	101.50	75.00	79.99	79.00	22514
2/28/2008	81.00	75.05	76.00	77.80	8407
1/29/2008	84.00	67.10	84.00	81.37	12290
12/30/2007	85.99	80.00	85.99	83.50	6978
11/29/2007	95.00	84.00	94.00	86.00	15122
10/31/2007	96.00	86.50	86.75	92.56	12597
9/28/2007	88.00	84.05	85.05	84.51	5490
8/30/2007	93.40	83.00	91.00	85.05	8175
7/31/2007	98.50	88.00	97.85	89.00	11145
6/29/2007	97.95	93.00	94.11	97.00	7292
5/31/2007	102.45	90.00	90.50	94.10	12949
4/30/2007	92.90	84.75	84.89	91.00	8516
3/30/2007	92.50	83.00	92.50	83.55	8753
2/27/2007	97.25	88.25	96.00	93.00	12192
1/30/2007	101.00	91.05	101.00	96.90	16593
12/28/2006	105.50	99.99	104.00	102.00	11754
11/29/2006	107.24	100.50	104.00	104.00	13169
10/31/2006	110.00	101.11	107.00	104.00	7793
9/28/2006	111.50	102.25	104.00	105.00	5440
8/31/2006	113.00	102.00	107.00	103.95	5091
7/31/2006	120.00	101.90	119.00	101.90	2240
6/30/2006	126.89	95.00	121.00	115.00	8834
5/31/2006	134.50	103.25	129.00	123.05	11174
