Boys_2	Boys_9	Boys_18	Girls_2	Girls_9	Girls_18
90.2	139.4	179	83.8	136.5	169.6
91.4	144.3	195.1	86.2	137	166.8
86.4	136.5	183.7	85.1	129	157.1
87.6	135.4	178.7	88.6	139.4	181.1
86.7	128.9	171.5	83	125.6	158.4
88.1	136	181.8	88.9	137.1	165.6
82.2	128.5	172.5	89.7	133.6	166.7
83.8	133.2	174.6	81.3	121.4	156.5
91	145.6	190.4	88.7	133.6	168.1
87.4	132.4	173.8	88.4	134.1	165.3
84.2	133.7	172.6	85.1	139.4	163.7
88.4	138.3	185.2	91.4	138.1	173.7
87.7	134.6	178.4	86.1	138.4	169.2
89.6	139	177.6	94	139.5	170.1
91.4	146	183.5	82.2	129.8	164.2
90	133.2	178.1	88.2	144.8	176
86.4	133.3	177	87.5	138.9	170.9
90	130.3	172.9	88.6	140.3	169.2
91.4	144.5	188.4	86.9	143.8	172
81.3	125.4	169.4	86.4	133.6	163
90.6	135.8	180.2	80.9	123.5	154.5
92.2	139.9	189	90	139.9	172.5
87.1	136.8	182.4	94	136.1	175.6
91.4	140.6	185.8	89.7	135.8	167.2
89.7	138.6	180.7	86.4	131.9	164
92.2	140	178.7	86.4	130.9	161.6
