Date,Open,High,Low,Close,Adj Close,Volume,Gain
5/17/2013,26.4,26.6,26.200001,26.25,26.25,29462700,-0.15
5/20/2013,26.18,26.190001,25.690001,25.76,25.76,42402900,-0.42
5/21/2013,25.870001,26.08,25.59,25.66,25.66,26261300,-0.210001
5/22/2013,25.65,25.85,24.92,25.16,25.16,45314500,-0.49
5/23/2013,24.799999,25.530001,24.77,25.059999,25.059999,37663100,0.26
5/24/2013,24.969999,24.969999,24.08,24.309999,24.309999,58727900,-0.66
5/28/2013,24.540001,24.540001,23.92,24.1,24.1,50079700,-0.440001
5/29/2013,23.790001,23.809999,23.26,23.32,23.32,64237800,-0.470001
5/30/2013,24.129999,24.780001,23.93,24.549999,24.549999,60733200,0.42
5/31/2013,24.629999,24.950001,24.27,24.35,24.35,35925000,-0.279999
6/3/2013,24.27,24.32,23.709999,23.85,23.85,35733800,-0.42
6/4/2013,23.889999,23.93,23.32,23.52,23.52,34760800,-0.369999
6/5/2013,23.35,23.709999,22.790001,22.9,22.9,53819700,-0.45
6/6/2013,22.99,23.09,22.67,22.969999,22.969999,31260700,-0.020001
6/7/2013,23.030001,23.4,22.860001,23.290001,23.290001,38699200,0.26
6/10/2013,24.059999,24.6,23.99,24.33,24.33,58393000,0.270001
6/11/2013,24.030001,24.35,24,24.030001,24.030001,29885900,0
6/12/2013,24.16,24.26,23.58,23.77,23.77,26445800,-0.39
6/13/2013,23.719999,23.83,23.27,23.73,23.73,31189300,0.010001
6/14/2013,23.559999,23.889999,23.26,23.629999,23.629999,30677100,0.07
6/17/2013,23.91,24.25,23.75,24.02,24.02,33664500,0.11
6/18/2013,24.09,24.690001,24.08,24.209999,24.209999,36709100,0.119999
6/19/2013,24.200001,25.190001,24.1,24.309999,24.309999,31790600,0.109998
6/20/2013,24.280001,24.75,23.65,23.9,23.9,42765600,-0.380001
6/21/2013,24.59,24.700001,24.049999,24.530001,24.530001,45833900,-0.059999
6/24/2013,23.950001,24.110001,23.379999,23.940001,23.940001,40626000,-0.01
6/25/2013,24.139999,24.43,24.040001,24.25,24.25,24713200,0.110001
6/26/2013,24.51,24.65,23.99,24.16,24.16,29890300,-0.35
6/27/2013,24.24,24.84,24.209999,24.66,24.66,34694100,0.42
6/28/2013,24.68,24.98,24.42,24.879999,24.879999,96778900,0.199999
7/1/2013,24.969999,25.059999,24.620001,24.809999,24.809999,20582200,-0.16
7/2/2013,24.700001,24.77,24.299999,24.41,24.41,18394100,-0.290001
7/3/2013,24.219999,24.709999,24.15,24.52,24.52,10404400,0.300001
7/5/2013,24.65,24.66,24.200001,24.370001,24.370001,20229500,-0.279999
7/8/2013,24.469999,25.040001,24.42,24.709999,24.709999,27064600,0.24
7/9/2013,25.07,25.49,25.030001,25.48,25.48,30387900,0.41
7/10/2013,25.58,25.83,25.469999,25.799999,25.799999,26721800,0.219999
7/11/2013,25.959999,26,25.450001,25.809999,25.809999,26777400,-0.15
7/12/2013,25.74,25.93,25.549999,25.91,25.91,16537900,0.17
7/15/2013,25.93,26.43,25.65,26.280001,26.280001,24234000,0.350001
7/16/2013,26.389999,26.75,26.01,26.32,26.32,30817600,-0.069999
7/17/2013,26.370001,26.780001,26.299999,26.65,26.65,21518500,0.279999
7/18/2013,26.75,26.77,26.120001,26.18,26.18,24806900,-0.57
7/19/2013,25.82,26.110001,25.6,25.879999,25.879999,46539700,0.059999
7/22/2013,25.99,26.129999,25.719999,26.049999,26.049999,27526300,0.059999
7/23/2013,26.1,26.299999,25.969999,26.129999,26.129999,28221600,0.029999
7/24/2013,26.32,26.530001,26.049999,26.51,26.51,82635600,0.19
7/25/2013,33.540001,34.880001,32.75,34.360001,34.360001,365457900,0.82
7/26/2013,33.77,34.73,33.560001,34.009998,34.009998,136028900,0.239998
7/29/2013,34.07,35.630001,34.009998,35.43,35.43,124718800,1.36
7/30/2013,35.650002,37.959999,35.32,37.630001,37.630001,173582800,1.979999
7/31/2013,37.959999,38.310001,36.330002,36.799999,36.799999,154828700,-1.16
8/1/2013,37.299999,38.290001,36.919998,37.490002,37.490002,106066500,0.190003
8/2/2013,37.66,38.490002,37.5,38.049999,38.049999,73058500,0.389999
8/5/2013,38.43,39.32,38.25,39.189999,39.189999,79994800,0.759999
8/6/2013,39.110001,39.25,37.939999,38.549999,38.549999,63950800,-0.560002
8/7/2013,38.610001,38.939999,37.700001,38.869999,38.869999,68854800,0.259998
8/8/2013,39.130001,39.189999,38.43,38.540001,38.540001,41301000,-0.59
8/9/2013,38.59,38.740002,38.009998,38.5,38.5,43532300,-0.09
8/12/2013,38.200001,38.5,38.099998,38.220001,38.220001,31161000,0.02
8/13/2013,38.240002,38.32,36.77,37.02,37.02,65379200,-1.220002
8/14/2013,36.830002,37.549999,36.619999,36.650002,36.650002,48423900,-0.18
8/15/2013,36.360001,37.07,36.02,36.560001,36.560001,56521100,0.2
8/16/2013,36.970001,37.490002,36.900002,37.080002,37.080002,45840800,0.110001
8/19/2013,37.43,38.279999,37.139999,37.810001,37.810001,57609600,0.380001
8/20/2013,38.349998,38.580002,37.689999,38.41,38.41,57995200,0.060002
8/21/2013,38.380001,38.849998,38.150002,38.32,38.32,46116900,-0.060001
8/22/2013,38.369999,38.75,38.34,38.549999,38.549999,21931200,0.18
8/23/2013,39,40.630001,38.93,40.549999,40.549999,86442300,1.549999
8/26/2013,40.900002,41.939999,40.619999,41.34,41.34,94162400,0.439998
8/27/2013,40.68,41.200001,39.419998,39.639999,39.639999,72695100,-1.040001
8/28/2013,39.959999,40.849998,39.880001,40.549999,40.549999,57918200,0.59
8/29/2013,40.889999,41.779999,40.799999,41.279999,41.279999,58303400,0.39
8/30/2013,42.02,42.259998,41.060001,41.290001,41.290001,67735100,-0.729999
9/3/2013,41.84,42.16,41.509998,41.869999,41.869999,48774900,0.029999
9/4/2013,42.009998,42.169998,41.439999,41.779999,41.779999,42581900,-0.229999
9/5/2013,41.790001,42.77,41.77,42.66,42.66,50035400,0.869999
9/6/2013,43.09,44.610001,42.400002,43.950001,43.950001,117535700,0.860001
9/9/2013,44.360001,44.790001,43.700001,44.040001,44.040001,75794700,-0.32
9/10/2013,44.240002,44.259998,43.23,43.599998,43.599998,54540300,-0.640004
9/11/2013,43.389999,45.09,43.110001,45.040001,45.040001,72328300,1.650002
9/12/2013,45.529999,45.619999,44.650002,44.75,44.75,68072300,-0.779999
9/13/2013,45.040001,45.080002,43.93,44.310001,44.310001,52765300,-0.73
9/16/2013,44.849998,44.939999,42.43,42.509998,42.509998,70424200,-2.34
9/17/2013,42.5,45.439999,42.43,45.07,45.07,91934600,2.57
9/18/2013,44.84,45.470001,44.400002,45.23,45.23,79317000,0.39
9/19/2013,45.509998,46.049999,45.23,45.98,45.98,63972400,0.470002
9/20/2013,46.32,47.599998,45.740002,47.490002,47.490002,115508400,1.170002
9/23/2013,47.279999,47.549999,46.290001,47.189999,47.189999,75177000,-0.09
9/24/2013,48.509998,49.66,48.16,48.450001,48.450001,136716100,-0.059997
9/25/2013,49.23,49.540001,48.459999,49.459999,49.459999,87879700,0.229999
9/26/2013,50.009998,50.599998,49.5,50.389999,50.389999,98220100,0.380001
9/27/2013,50.290001,51.279999,49.860001,51.240002,51.240002,81410500,0.950001
9/30/2013,50.139999,51.599998,49.799999,50.23,50.23,100095000,0.090001
10/1/2013,49.970001,51.029999,49.450001,50.419998,50.419998,98114000,0.449997
10/2/2013,50.130001,51.099998,49.950001,50.279999,50.279999,62834000,0.149998
10/3/2013,50.470001,50.720001,49.060001,49.18,49.18,82045000,-1.290001
10/4/2013,49.77,51.16,49.57,51.040001,51.040001,74447000,1.270001
10/7/2013,50.73,51.290001,50.400002,50.52,50.52,57204000,-0.21
10/8/2013,50.599998,50.599998,47.080002,47.139999,47.139999,136081000,-3.459999
10/9/2013,47.380001,47.84,45.259998,46.77,46.77,147297000,-0.610001
10/10/2013,47.869999,49.68,47.830002,49.049999,49.049999,99774000,1.18
10/11/2013,49.18,49.869999,48.790001,49.110001,49.110001,58428000,-0.069999
10/14/2013,48.310001,49.630001,47.91,49.509998,49.509998,68781000,1.199997
10/15/2013,49.990002,51,49.18,49.5,49.5,81167000,-0.490002
10/16/2013,50.040001,51.240002,49.900002,51.139999,51.139999,64678000,1.099998
10/17/2013,51.119999,52.220001,50.950001,52.209999,52.209999,71522000,1.09
10/18/2013,54.18,54.830002,53.599998,54.220001,54.220001,88260000,0.040001
