State,Crop,Crop title,Variety,Year,Unit,Value
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2000,Percent of all corn planted,13
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2001,Percent of all corn planted,12
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2002,Percent of all corn planted,18
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2003,Percent of all corn planted,23
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2004,Percent of all corn planted,26
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2005,Percent of all corn planted,25
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2006,Percent of all corn planted,24
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2007,Percent of all corn planted,19
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2008,Percent of all corn planted,13
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2009,Percent of all corn planted,10
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2010,Percent of all corn planted,15
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2011,Percent of all corn planted,14
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2012,Percent of all corn planted,14
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2013,Percent of all corn planted,4
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2014,Percent of all corn planted,3
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2015,Percent of all corn planted,1
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2016,Percent of all corn planted,2
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2017,Percent of all corn planted,3
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2018,Percent of all corn planted,1
Illinois,Corn,Genetically engineered (GE) corn varieties,Insect-resistant (Bt) only                                           ,2019,Percent of all corn planted,1
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2000,Percent of all corn planted,3
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2001,Percent of all corn planted,3
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2002,Percent of all corn planted,3
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2003,Percent of all corn planted,4
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2004,Percent of all corn planted,5
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2005,Percent of all corn planted,6
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2006,Percent of all corn planted,12
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2007,Percent of all corn planted,15
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2008,Percent of all corn planted,15
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2009,Percent of all corn planted,15
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2010,Percent of all corn planted,15
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2011,Percent of all corn planted,17
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2012,Percent of all corn planted,18
Illinois,Corn,Genetically engineered (GE) corn varieties,Herbicide-tolerant only                                           ,2013,Percent of all corn planted,7
