Rank,Country,1992–2003,2004–2014,Total
1,United States,96,60,156
2,Canada,56,67,123
3,Japan,5,115,120
4,Brazil*,1,38,39
5,Argentina*,7,29,36
6,Australia,21,11,32
7,South Africa*,10,9,19
8,Uruguay*,2,16,18
9,Colombia*,1,13,14
10,Costa Rica*,1,14,15
11,Paraguay*,0,14,14
12,Philippines*,1,12,13
13,China*,8,4,12
14,Mexico*,6,6,12
15,European Union (28),6,1,7
16,Honduras*,2,3,5
17,India*,1,4,5
18,Chile*,0,4,4
19,Bangladesh*,0,1,1
20,Bolivia*,0,1,1
21,Burkina Faso*,0,1,1
22,Egypt*,0,1,1
23,Iran*,0,1,1
24,Myanmar*,0,1,1
25,Pakistan*,0,1,1
26,Panama*,0,1,1
27,South Korea,0,1,1
28,Cuba*,0,1,1
29,Sudan*,0,1,1
