Trait,Gene,Source,Product,Function
"2,4-D herbicide tolerance",aad-12,Delftia acidovorans,aryloxyalkanoate di-oxygenase 12 (AAD-12) protein,"catalyzes the side chain degradation of 2,4-D herbicide"
Altered lignin production,ccomt (inverted repeat),Medicago sativa (alfalfa),dsRNA that suppresses endogenous S-adenosyl-L-methionine: trans-caffeoyl CoA 3-O-methyltransferase (CCOMT gene) RNA transcript levels via the RNA interference (RNAi) pathway,reduces content of guaiacyl (G) lignin
Altered lignin production,EgCAld5H,Eucalyptus grandis,CAld5H enzyme,regulates the syringyl monolignol pathway;
Anti-allergy,7crp,synthetic form of tolerogenic protein from Cryptomeria japonica,modified cry j 1 and cry j 2 pollen antigens containing seven major human T cell epitopes,triggers mucosal immune tolerance to cedar pollen allergens
Antibiotic resistance,aad,Escherichia coli,3''(9)-O-aminoglycoside adenylyltransferase enzyme,allows selection for resistance to aminoglycoside antibiotics such as spectinomycin and streptomycin
Antibiotic resistance,aph4 (hpt),Escherichia coli,hygromycin-B phosphotransferase (hph) enzyme,allows selection for resistance to the antibiotic hygromycin B
Antibiotic resistance,bla,Escherichia coli,beta lactamase enzyme,detoxifies beta lactam antibiotics such as ampicillin
Antibiotic resistance,hph,Streptomyces sp.,hygromycin phosphotransferase,allows selection for resistance to the antibiotic hygromycin B
Antibiotic resistance,nptII,Escherichia coli Tn5 transposon,neomycin phosphotransferase II enzyme,allows transformed plants to metabolize neomycin and kanamycin antibiotics during selection
Antibiotic resistance,spc,Escherichia coli,spectinomycin adenyl transferase enzyme (not expressed in plant tissues),"confers resistance to spectinomycin/streptomycin antibiotics, which permits prokaryotic selection"
Coleopteran insect resistance,cry34Ab1,Bacillus thuringiensis strain PS149B1,Cry34Ab1 delta-endotoxin,confers resistance to coleopteran insects particularly corn rootworm by selectively damaging their midgut lining
Coleopteran insect resistance,cry35Ab1,Bacillus thuringiensis strain PS149B1,Cry35Ab1 delta-endotoxin,confers resistance to coleopteran insects particularly corn rootworm by selectively damaging their midgut lining
Coleopteran insect resistance,cry3A,Bacillus thuringiensis subsp. tenebrionis,cry3A delta endotoxin,confers resistance to coleopteran insects by selectively damaging their midgut lining
Coleopteran insect resistance,cry3Bb1,Bacillus thuringiensis subsp. kumamotoensis,Cry3Bb1 delta endotoxin,confers resistance to coleopteran insects particularly corn rootworm by selectively damaging their midgut lining
Coleopteran insect resistance,dvsnf7,Western Corn Rootworm (Diabrotica virgifera virgifera),double-stranded RNA transcript containing a 240 bp fragment of the WCR Snf7 gene,RNAi interference resulting to down-regulation of the function of the targeted Snf7 gene leading to Western Corn Rootworm mortality.
Coleopteran insect resistance,mcry3A,synthetic form of cry3A gene from Bacillus thuringiensis subsp. tenebrionis,modified Cry3A delta-endotoxin,confers resistance to coleopteran insects particularly corn rootworm pests by selectively damaging their midgut lining
Delayed fruit softening,pg (sense or antisense),Lycopersicon esculentum,no functional polygalacturonase enzyme is produced (transcription of the endogenous enzyme is suppressed by a gene silencing mechanism),"inhibits the production of polygalacturonase enzyme responsible for the breakdown of pectin molecules in the cell wall, and thus causes delayed softening of the fruit"
Delayed ripening/senescence,acc,Ananas comosus,1-aminocyclopropane-1-carboxylic acid synthase,involved in catalyzing the penultimate step in ethylene biosynthesis
Delayed ripening/senescence,acc (truncated),Lycopersicon esculentum,modified transcript of 1-amino-cyclopropane-1-carboxylic acid (ACC) synthase gene,"suppresses the normal expression of the native ACC synthase gene, resulting in reduced ethylene production and delayed fruit ripening"
