" ",,"1992–2003",,"2004–2014"
"Trait","Crops","Number of Events*","Crops","Number of Events*"
"Insect Resistance (8 crops)"," "," "," "," "
" Coleopteran Resistance","Maize","3","Maize","67"
" ","Potato","28","Potato","10"
" Lepidopteran Resistance","Cotton","14","Cotton","33"
" ","Maize","13","Eggplant","1"
" ","Poplar","2","Maize","91"
" ","Tomato","1","Rice","3"
" "," "," ","Soybean","5"
" Multiple Insect Resistance","Poplar","1","Maize","3"
" ","Cotton","1"," "," "
"Total 276"," ","63"," ","213"
"Herbicide Tolerance (12 crops)"," "," "," "," "
" Glyphosate Tolerance","Argentine Canola","2","Alfalfa","3"
" ","Cotton","4","A. Canola","8"
" ","Creeping bentgrass","1","Cotton","15"
" ","Maize","8","Maize","75"
" ","Potato","3","Potato","1"
" ","Polish Canola","3","Soybean","14"
" ","Soybean","1","Sugarbeet","1"
" "," "," ","Wheat","1"
" Glufosinate Tolerance","A. Canola","15","A. Canola","12"
" ","Cotton","1","Cotton","16"
" ","Maize","13","Maize","85"
" ","P. Canola","1","Soybean","7"
" ","Soybean","7","Rice","2"
" ","Rice","2"," "," "
" Oxynil Tolerance","A. Canola","1","A. Canola","1"
" ","Cotton","10"," "," "
" Sulfunyl Tolerance","Flax","1","Flax","1"
" ","Cotton","1","Maize","4"
" "," "," ","Soybean","3"
" Mesotrione Tolerance"," "," ","Soybean","1"
" 2–4 D Tolerance"," "," ","Cotton","1"
" "," "," ","Maize","5"
" "," "," ","Soybean","3"
" Dicamba Tolerance"," "," ","Cotton","2"
" "," "," ","Soybean","1"
"Total 336"," ","74"," ","262"
"Modified Product Quality (8 crops)"," "," "," "," "
" Amylose Content"," "," ","Maize","10"
" "," "," ","Potato","1"
" Altered Lignin Production"," "," ","Alfalfa","1"
" Phytase Production","A. Canola","5","Maize","1"
" Modified Oil","A. Canola","2","Soybean","7"
" ","Soybean","1"," "," "
" Modified Lysine","Maize","1","Maize","1"
" Reduced Acrylamide Potential"," "," ","Potato","10"
" Black Spot Bruising Tolerance"," "," ","Potato","10"
" Modified Carbohydrates"," "," ","Potato","9"
" Anti-allergy Pollen"," "," ","Rice","1"
" Nicotine Reduction","Tobacco","1"," "," "
" Delayed Fruit Softening","Tomato","1"," "," "
"Total 62"," ","11"," ","51"
"Pollination Control (3 crops)"," "," "," "," "
" Male Sterility","A. Canola","9","A. Canola","7"
" ","Maize","5","Maize","1"
" ","Chicory","3"," "," "
" Fertility Restorer","Canola","10","Canola","8"
" "," "," ","Maize","1"
"Total 44"," ","27"," ","17"
"Disease Resistance (8 crops)"," "," "," "," "
" Bean Golden Mosaic Virus"," "," ","Bean","1"
" Papaya Ringspot Virus","Papaya","1","Papaya","3"
" Plum Pox Virus"," "," ","Plum","1"
" Potato Virus Y","Potato","7","Potato","3"
" Potato Leaf Roll Virus","Potato","7","Potato","3"
" Cucumber Mosaic Virus","Squash","1"," "," "
" ","Sweet Pepper","1"," "," "
" ","Tomato","1"," "," "
" Zucchini Mosaic Virus","Squash","2"," "," "
" Watermelon Mosaic Virus","Squash","2"," "," "
"Total 34"," ","23"," ","11"
"Stress Tolerance (1 crop)"," "," "," "," "
" Drought Tolerance"," "," ","Maize","4"
" "," "," ","Sugarcane","3"
"Total 7"," "," "," ","7"
"Altered Growth /Yield (1 crop)"," "," "," "," "
" Enhanced Photosynthesis"," "," ","Soybean","1"
