sep=	
time (source1)	EKG
0	282
0.003	287
0.007	281
0.066	273
0.068	273
0.122	283
0.125	287
0.182	281
0.186	273
0.24	273
0.245	282
0.302	287
0.305	281
0.36	273
0.367	273
0.421	282
0.424	287
0.482	282
0.486	273
0.539	273
0.545	282
0.6	287
0.605	282
0.66	273
0.667	273
0.721	282
0.724	287
0.779	282
0.787	273
0.841	273
0.845	282
0.902	279
0.955	283
0.957	288
1.011	280
1.016	272
1.07	273
1.072	283
1.126	289
1.127	280
1.184	272
1.186	273
1.24	284
1.242	293
1.299	283
1.301	274
1.355	275
1.36	284
1.413	292
1.47	286
1.472	281
1.526	282
1.528	293
1.586	299
1.588	290
1.644	282
1.647	281
1.704	290
1.706	295
1.76	288
1.762	280
1.818	280
1.876	291
1.933	297
1.936	288
2.022	284
2.024	285
2.026	295
2.083	300
2.087	290
2.142	284
2.146	291
2.203	294
2.206	299
2.26	290
2.269	284
2.323	284
2.326	297
2.384	309
2.388	288
2.443	415
2.446	293
2.504	300
2.557	304
2.56	300
2.617	302
2.619	413
2.673	470
2.675	553
2.733	484
2.736	573
2.79	558
2.791	519
2.845	632
2.85	698
2.905	716
2.906	638
2.964	560
2.97	659
3.024	713
3.026	731
3.084	656
3.086	342
3.141	385
3.144	375
3.201	381
3.203	314
3.258	265
3.267	202
3.322	247
3.324	227
3.378	160
3.385	144
3.439	138
3.442	138
3.497	142
3.504	136
3.558	133
3.564	135
3.621	137
3.623	137
3.678	126
3.686	124
3.74	127
3.743	128
3.798	131
3.803	120
3.856	115
3.862	120
3.919	127
3.923	126
3.978	115
3.985	109
4.04	110
4.043	113
4.101	114
4.155	111
4.157	109
4.211	104
4.213	101
4.271	102
4.273	100
4.326	99
4.329	94
4.386	90
4.388	92
4.442	93
4.444	93
4.501	88
4.504	87
4.561	90
4.563	91
4.619	92
4.621	88
4.676	86
4.68	89
4.738	89
4.74	90
4.795	86
4.802	85
4.857	89
4.859	91
4.916	90
4.92	87
4.975	85
4.978	89
