# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:42:21 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN hd_name:        HD ID
# COLUMN hip_name:       HIP ID
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN st_radvlim:     Systemic Radial Velocity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
loc_rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
1,11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,2,1,0,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,12.100,,,0,1.080,,,0,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0,Msini,0.231000,0.005000,-0.005000,0,,,,,,,,,0,,,,,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,-0.350,0.090,-0.090,0,[Fe/H],2.243,0.071,-0.085,0,2.31,0.10,-0.10,0,,,,,,,,,1.2000,1.0000,-1.0000,0,,,,,43.37,0.21,-0.21,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,1.9238000,-1.9238000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
2,11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,0,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.020,,,0,[Fe/H],2.430,0.008,-0.008,0,1.93,0.07,-0.07,0,1.560,0.540,-0.540,0,,,,,1.5000,,,0,,,,,-17.52,0.15,-0.15,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
3,14 And b,14 And,b,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,12.900,,,0,1.150,,,0,1525.50000,,,0,4.80000,,,0,Msini,0.000000,,,0,,,,,,,,,0,,,,,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,-0.240,0.030,-0.030,0,[Fe/H],1.763,,,0,2.63,0.07,-0.07,0,4.500,1.900,-1.900,0,,,,,2.6000,,,0,,,,,-59.73,0.31,-0.31,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,0.7140000,-0.7140000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
4,14 Her b,14 Her,b,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,1.120,,,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,Mass,0.373000,0.008000,-0.006000,0,,,,,,,,,0,,,,,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,0.405,0.047,-0.047,0,[Fe/H],-0.153,0.012,-0.010,0,4.45,0.02,-0.02,0,3.900,,,0,1.27393,0.34953,-0.30728,0,1.0000,,,1,,,,,-13.82,0.00,0.00,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,0.0073000,-0.0073000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
5,16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,3,1,0,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,Msini,0.680000,0.020000,-0.020000,0,,,,,,,,,0,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,[Fe/H],0.097,0.009,-0.013,0,4.36,0.01,-0.01,0,7.400,0.100,-0.100,0,1.01103,0.29273,-0.20081,0,2.7000,1.0000,-1.0000,0,,,,,-28.10,0.10,-0.10,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,0.0110000,-0.0111000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
6,17 Sco b,17 Sco,b,,HIP 79540,TIC 135596590,Gaia DR2 4342464209753404416,1,1,0,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1.150,,,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0,Msini,0.060000,0.030000,-0.020000,0,,,,,,,,,0,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,[Fe/H],2.254,0.026,-0.024,0,1.70,0.04,-0.06,0,5.130,2.120,-1.330,0,,,,,3.9800,1.1100,-1.1100,0,329.49,92.40,-92.40,1,,,,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,2.5900000,-2.5900000,5.2260600,0.0230000,-0.0230000,2.0940000,0.2440000,-0.2440000,4.7542900,0.0050550,-0.0050550
7,18 Del b,18 Del,b,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,12.500,,,0,1.110,,,0,3273.50000,,,0,10.30000,,,0,Msini,0.080000,0.010000,-0.010000,0,,,,,,,,,0,,,,,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,[Fe/H],1.602,,,0,2.82,0.06,-0.06,0,1.100,0.100,-0.100,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,0.6217000,-0.6217000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,,,TIC 48964101,Gaia DR2 6243841249531772800,1,1,0,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,0,,,,,330.000000,,,0,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,1700,100,-100,0,0,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,,,,,,-0.370,0.150,-0.150,0,4.00,0.14,-0.10,0,0.005,,,0,0.38789,0.18019,-0.10697,0,,,,,,,,,,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,1.3320000,-1.3070000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
9,24 Boo b,24 Boo,b,HD 127243,HIP 70791,TIC 441712711,Gaia DR2 1603662211901473408,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,0,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,13.900,,,0,1.240,,,0,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0,Msini,0.042000,0.048000,-0.029000,0,,,,,,,,,0,,,,,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,[Fe/H],1.774,0.047,-0.053,0,2.42,0.10,-0.10,0,6.920,4.830,-2.750,0,,,,,3.3600,,,0,,,,,-7.77,0.15,-0.15,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,0.6368500,-0.6368500,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998
10,24 Sex b,24 Sex,b,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,1,2,0,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,Msini,0.090000,0.140000,-0.060000,0,,,,,,,,,0,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],1.164,0.003,-0.003,0,3.50,0.10,-0.10,0,2.700,0.400,-0.400,0,,,,,2.7700,0.5000,-0.5000,0,,,,,7.29,0.18,-0.18,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,0.6854000,-0.6728000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
