# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 14:48:23 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_name like '%kepler-11%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN hd_name:        HD ID
# COLUMN hip_name:       HIP ID
# COLUMN tic_id:         TIC ID
# COLUMN gaia_id:        GAIA ID
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-11 b,Kepler-11,b,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,10.30390000,0.091000,1.800,0.161,1.90000,0.00600,Mass,0.045000,146.36,849,1,0.01563,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-11 c,Kepler-11,c,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,13.02410000,0.107000,2.870,0.256,2.90000,0.00900,Mass,0.026000,107.22,786,1,0.02496,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-11 d,Kepler-11,d,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,22.68450000,0.155000,3.120,0.278,7.30000,0.02300,Mass,0.004000,51.12,653,1,0.02714,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-11 e,Kepler-11,e,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,31.99960000,0.195000,4.190,0.374,8.00000,0.02500,Mass,0.012000,32.34,582,1,0.03643,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-11 f,Kepler-11,f,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,46.68880000,0.250000,2.490,0.222,2.00000,0.00600,Mass,0.013000,19.53,513,1,0.02169,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-11 g,Kepler-11,g,,,TIC 169175503,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Kepler,0.95 m Kepler Telescope,0,118.38070000,0.466000,3.330,0.297,25.00000,0.07900,Mass,0.150000,5.65,376,1,0.02899,,5663.00,1.06,0.96,0.040,[Fe/H],0.120,4.37,8.500,1.12200,0.4000,,-57.16,19h48m27.62s,297.1150949,+41d54m32.79s,41.9091092,646.3460000,13.8170000,12.1800000,13.7062000
Kepler-110 b,Kepler-110,b,,,TIC 26751563,Gaia DR2 2128925579652377472,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,12.69111200,0.107000,1.830,0.163,4.01000,0.01260,M-R relationship,0.000000,153.88,1008,1,0.01471,,5960.00,1.15,1.07,-0.150,[M/H],0.276,4.33,4.470,0.79317,,,0.04,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,586.5310000,13.0030000,11.6230000,12.9020000
Kepler-110 c,Kepler-110,c,,,TIC 26751563,Gaia DR2 2128925579652377472,1,2,0,Transit,2014,Kepler,0.95 m Kepler Telescope,0,31.71977500,0.198000,2.210,0.197,5.52000,0.01740,M-R relationship,0.000000,45.34,743,1,0.01758,,5960.00,1.15,1.07,-0.150,[M/H],0.276,4.33,4.470,0.79317,,,0.04,19h31m43.00s,292.9291693,+48d36m10.19s,48.6028303,586.5310000,13.0030000,11.6230000,12.9020000
Kepler-1100 b,Kepler-1100,b,,,TIC 63009789,Gaia DR2 2126163675162475136,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,6.42200058,0.068400,1.750,0.156,3.71000,0.01170,M-R relationship,0.000000,238.51,1000,0,0.01189,,6247.00,1.34,1.21,0.050,[Fe/H],0.088,4.26,2.690,2.85412,,,,19h27m29.12s,291.8713535,+44d05m14.61s,44.0873907,693.6180000,13.9520000,12.4560000,13.8225000
Kepler-1101 b,Kepler-1101,b,,,TIC 271163971,Gaia DR2 2080048680026646912,1,1,0,Transit,2016,Kepler,0.95 m Kepler Telescope,0,81.31510590,0.348300,2.470,0.220,6.66000,0.02100,M-R relationship,0.000000,3.58,393,0,0.02534,,5614.00,0.91,0.94,-0.040,[Fe/H],-0.351,4.50,4.270,3.75810,,,,19h38m16.65s,294.5693544,+45d40m16.18s,45.6711623,742.4730000,15.1560000,13.3140000,15.0958000
