# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:47:49 2023
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 57,HIP 57,HD 224789,,2MASS J00004029-6940335,1,0,0,0,0,0,0,00h00m40.39s,0.168286,-69d40m32.9s,-69.675801,29.87,0.61,-0.59,8.240,0.020,0.880,0.020,K2V,0.460,0.070
HIP 169 A,HIP 169 A,HD 224953,GJ 1294 A,2MASS J00020875-6816509,1,0,0,0,0,0,0,00h02m08.41s,0.535021,-68d16m48.7s,-68.280206,15.33,0.47,-0.45,9.240,0.010,1.410,0.010,K5/M0V,0.080,0.120
HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,0.540188,+27d05m04.2s,27.084489,12.17,0.38,-0.35,5.800,0.010,0.690,0.020,G3V,0.700,0.090
HIP 263,HIP 263,,,2MASS J00031900+0441128,1,0,0,0,0,0,0,00h03m19.02s,0.829238,+04d41m13.7s,4.687136,29.21,2.89,-2.41,12.040,0.010,1.470,0.020,M1,0.040,0.250
HIP 375,HIP 375,,,2MASS J00044018+3416199,1,0,0,0,0,0,0,00h04m40.15s,1.167294,+34d16m17.4s,34.271506,28.97,193.88,-13.48,9.080,,,,,0.160,
HIP 400,HIP 400,HD 225261,GJ 3003,2MASS J00045634+2316106,1,0,0,0,0,0,0,00h04m56.08s,1.233660,+23d16m10.7s,23.269647,26.39,0.54,-0.52,7.810,0.020,0.770,0.020,G9V,0.520,0.070
HIP 428,HIP 428,,GJ 2,2MASS J00051079+4547116,1,0,0,0,0,0,0,00h05m10.16s,1.292336,+45d47m13.0s,45.786934,11.25,0.23,-0.22,9.950,0.010,1.470,0.020,M2,0.040,0.100
HIP 436,HIP 436,HD 55,GJ 3,2MASS J00051767-6749577,1,0,0,0,0,0,0,00h05m17.87s,1.324453,-67d49m52.4s,-67.831227,15.89,0.16,-0.16,8.490,0.010,1.080,0.010,K5V,0.150,0.050
HIP 439,HIP 439,HD 225213,GJ 1,2MASS J00052423-3721257,1,0,0,0,0,0,0,00h05m20.29s,1.334556,-37d21m06.1s,-37.351681,4.34,,,8.560,0.010,1.460,0.010,M1.5V,0.020,0.090
HIP 473 A,HIP 473 A,HD 38 A,GJ 4 A,2MASS J00054091+4548435,1,0,0,0,0,0,0,00h05m40.28s,1.417823,+45d48m44.8s,45.812455,11.31,0.23,-0.22,8.830,0.030,1.410,0.010,K2,0.090,0.120
HIP 518 A,HIP 518 A,HD 123,GJ 4.1 A,2MASS J00061575+5826128 A,1,0,0,0,0,0,0,00h06m15.54s,1.564744,+58d26m12.1s,58.436690,21.48,0.22,-0.21,5.980,0.000,0.690,0.000,G5V,1.730,0.040
HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,1.577763,-49d04m30.3s,-49.075094,25.71,0.26,-0.25,5.700,0.020,0.520,0.010,F7V,3.000,0.110
HIP 523,HIP 523,,GJ 3006,2MASS J00061920-6550262,1,0,0,0,0,0,0,00h06m18.90s,1.578760,-65d50m21.1s,-65.839195,16.71,0.70,-0.64,12.170,0.010,1.580,0.010,M4,0.020,0.140
HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,1.652210,+29d01m19.0s,29.021935,13.67,0.14,-0.14,6.060,0.020,0.750,0.000,K0V,0.680,0.110
HIP 669,HIP 669,HD 361,,2MASS J00081636-1449281,1,0,0,0,0,0,0,00h08m16.37s,2.068209,-14d49m28.1s,-14.824466,27.44,0.56,-0.54,7.030,0.020,0.620,0.020,G2/3V,1.030,0.070
HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,2.096533,+29d05m27.0s,29.090828,29.74,0.30,-0.29,2.060,0.010,-0.050,0.010,B9p,251.040,0.060
HIP 687,HIP 687,,GJ 3008,2MASS J00082730+1725274,1,0,0,0,0,0,0,00h08m27.34s,2.113901,+17d25m28.0s,17.424454,21.75,0.91,-0.84,10.760,0.010,1.480,0.010,M0,0.060,0.110
HIP 738,HIP 738,,GJ 7,2MASS J00090428-2707196,1,0,0,0,0,0,0,00h09m03.90s,2.266269,-27d07m20.5s,-27.122352,23.45,1.50,-1.33,11.670,0.010,1.510,0.010,,0.030,0.180
HIP 746,HIP 746,HD 432,GJ 8,2MASS J00091071+5908591,1,1,0,0,0,0,0,00h09m10.09s,2.292040,+59d09m00.8s,59.150218,16.78,0.17,-0.17,2.260,0.020,0.360,0.020,F2III-IV,29.090,0.060
HIP 897,HIP 897,,GJ 3011,2MASS J00110458-0547023,1,0,0,0,0,0,0,00h11m04.46s,2.768588,-05d47m02.4s,-5.783994,25.54,1.34,-1.22,10.860,0.010,1.420,0.020,M2,0.080,0.130
HIP 910,HIP 910,HD 693,GJ 10,2MASS J00111587-1528043,1,1,0,0,1,0,0,00h11m15.91s,2.816284,-15d28m02.4s,-15.467323,18.75,0.19,-0.19,4.890,0.010,0.490,0.010,F5V,3.380,0.060
HIP 916,HIP 916,,GJ 3012,2MASS J00112111+5820596,1,0,0,0,0,0,0,00h11m20.89s,2.837028,+58d20m59.5s,58.349863,28.08,1.48,-1.34,9.500,0.010,1.250,0.020,K7,0.210,0.140
HIP 950,HIP 950,HD 739,GJ 3013,2MASS J00114399-3507593,1,0,0,0,0,0,0,00h11m43.89s,2.932867,-35d08m00.2s,-35.133396,21.28,0.21,-0.21,5.240,0.020,0.430,0.020,F3/5V,3.070,0.100
HIP 974,HIP 974,,,2MASS J00120396+2705563,1,0,0,0,0,0,0,00h12m03.84s,3.015992,+27d05m57.0s,27.099154,26.36,0.82,-0.77,8.700,0.030,1.030,0.030,K0,0.270,0.110
HIP 1006,HIP 1006,,,2MASS J00123349+2142488,1,0,0,0,0,0,0,00h12m33.39s,3.139138,+21d42m50.9s,21.714142,27.94,2.43,-2.07,11.670,0.010,1.480,0.020,,0.040,0.190
HIP 1031,HIP 1031,HD 870,GJ 2001,2MASS J00125025-5754454,1,0,0,0,0,0,0,00h12m50.38s,3.209913,-57d54m45.7s,-57.912695,20.19,0.20,-0.20,7.220,0.000,0.780,0.000,K0V,0.520,0.040
HIP 1068 A,HIP 1068 A,,GJ 11 A,2MASS J00131578+6919372 A,1,0,0,0,0,0,0,00h13m14.64s,3.310993,+69d19m39.3s,69.327592,20.04,2.73,-2.15,12.460,1.260,1.400,0.500,M6,0.020,1.990
HIP 1083 A,HIP 1083 A,,,2MASS J00132909-3649433 A,1,0,0,0,0,0,0,00h13m29.23s,3.371792,-36d49m40.5s,-36.827927,28.18,1.80,-1.60,10.770,0.010,1.440,0.010,,0.110,0.180
HIP 1092,HIP 1092,,GJ 3014 A,2MASS J00133880+8039569,1,0,0,0,0,0,0,00h13m37.81s,3.407543,+80d39m55.2s,80.665339,19.59,0.61,-0.57,11.120,0.310,1.560,0.080,M0,0.050,0.490
HIP 1242,HIP 1242,,GJ 1005 A,2MASS J00152799-1608008 A,1,0,0,0,0,0,0,00h15m27.67s,3.865281,-16d07m56.3s,-16.132307,5.94,0.06,-0.06,11.480,0.010,1.700,0.010,M3.5V,0.010,0.090
HIP 1276,HIP 1276,,GJ 3020,2MASS J00160199-4815392,1,0,0,0,0,0,0,00h16m02.03s,4.008474,-48d15m37.0s,-48.260272,22.78,2.53,-2.07,11.550,0.010,1.510,0.010,M5,0.050,0.400
GJ 3021,HIP 1292,HD 1237,GJ 3021,2MASS J00161266-7951042,1,0,0,0,0,1,1,00h16m11.24s,4.046838,-79d51m03.7s,-79.851041,17.50,0.18,-0.17,6.590,0.000,0.750,0.000,G6V,0.670,0.030
HIP 1295,HIP 1295,,GJ 1006 A,2MASS J00161455+1951385,1,0,0,0,0,0,0,00h16m14.19s,4.059106,+19d51m44.2s,19.862290,16.31,4.34,-2.83,11.780,0.090,1.490,0.020,M:,0.030,0.620
HIP 1322,HIP 1322,,,2MASS J00163656-5016086,1,0,0,0,0,0,0,00h16m36.27s,4.151132,-50d16m10.8s,-50.269676,22.20,1.67,-1.45,12.350,0.010,1.530,0.010,M4,0.020,0.200
HIP 1349,HIP 1349,HD 1273,GJ 13,2MASS J00165387-5239043,1,0,0,0,0,0,0,00h16m53.59s,4.223300,-52d39m05.7s,-52.651592,22.60,0.23,-0.22,6.850,0.010,0.650,0.010,G2V,0.890,0.050
HIP 1368,HIP 1368,,GJ 14,2MASS J00170635+4056538,1,0,0,0,0,0,0,00h17m05.94s,4.274733,+40d56m53.1s,40.948094,15.00,0.15,-0.15,8.990,0.000,1.370,0.000,M0,0.120,0.040
HIP 1386,HIP 1386,,GJ 3023,2MASS J00172021+2910578,1,0,0,0,0,0,0,00h17m19.86s,4.332760,+29d10m55.1s,29.181964,23.20,1.22,-1.10,11.540,0.010,1.510,0.020,M:,0.050,0.160
HIP 1392 B,HIP 1392 B,HD 1317 B,,2MASS J00172453+0852355 B,1,0,0,0,0,0,0,00h17m24.50s,4.352098,+08d52m34.8s,8.876334,15.19,5.91,-3.32,7.050,0.020,0.650,0.020,F5,0.320,0.730
HIP 1444,HIP 1444,HD 1388,GJ 9008,2MASS J00175884-1327204,1,0,0,0,0,0,0,00h17m58.63s,4.494303,-13d27m20.3s,-13.455639,27.22,0.27,-0.27,6.510,0.000,0.600,0.000,G2V,1.650,0.040
HIP 1463,HIP 1463,,GJ 16,2MASS J00181659+1012100,1,0,0,0,0,0,0,00h18m16.59s,4.569121,+10d12m10.3s,10.202861,16.34,0.51,-0.48,10.860,0.010,1.530,0.010,M0,0.040,0.230
GJ 15 A,HIP 1475,HD 1326 A,GJ 15 A,2MASS J00182256+4401222,1,0,0,0,0,0,2,00h18m20.54s,4.585591,+44d01m19.0s,44.021956,3.57,,,8.130,0.030,1.480,0.030,M1.5V,0.020,0.110
HD 1461,HIP 1499,HD 1461,GJ 16.1,2MASS J00184182-0803105,1,0,0,0,0,1,2,00h18m41.62s,4.673423,-08d03m09.5s,-8.052651,23.25,0.23,-0.23,6.450,0.020,0.670,0.010,G5V,1.280,0.050
HIP 1532,HIP 1532,,GJ 1008,2MASS J00190556-0957530,1,0,0,0,0,0,0,00h19m05.58s,4.773266,-09d57m50.8s,-9.964120,21.08,0.65,-0.61,9.950,0.080,1.320,0.000,K7V,0.100,0.180
HIP 1546,HIP 1546,,,2MASS J00191728-1954306,1,0,0,0,0,0,0,00h19m16.97s,4.820727,-19d54m29.8s,-19.908286,29.01,4.72,-3.56,12.500,0.020,1.550,0.100,K:...,0.020,0.350
HIP 1598,HIP 1598,HD 1562,,2MASS J00200042+3813390,1,0,0,0,0,0,0,00h20m00.51s,5.002138,+38d13m41.0s,38.228069,24.80,0.25,-0.25,6.970,0.020,0.620,0.020,G0,0.900,0.060
HIP 1599,HIP 1599,HD 1581,GJ 17,2MASS J00200446-6452282,1,1,1,0,0,0,0,00h20m01.91s,5.007976,-64d52m39.4s,-64.877623,8.59,,,4.230,0.010,0.580,0.010,G0V,1.330,0.050
HIP 1608,HIP 1608,,GJ 2003,2MASS J00200837-1703409,1,0,0,0,0,0,0,00h20m08.29s,5.034562,-17d03m40.9s,-17.061356,23.20,2.29,-1.92,11.670,0.010,1.490,0.010,,0.040,0.220
HIP 1696,HIP 1696,,GJ 17.1,2MASS J00211961-4544465,1,0,0,0,0,0,0,00h21m19.56s,5.331505,-45d44m40.0s,-45.744437,17.13,0.53,-0.50,10.390,0.010,1.480,0.010,M0,0.060,0.130
HIP 1720,HIP 1720,,GJ 3029,2MASS J00213729-4605331,1,0,0,0,0,0,0,00h21m37.52s,5.406335,-46d05m30.3s,-46.091736,19.31,1.68,-1.43,12.240,0.010,1.530,0.010,M6,0.030,0.620
HIP 1734,HIP 1734,,GJ 1009,2MASS J00215604-3124215,1,0,0,0,0,0,0,00h21m56.00s,5.483339,-31d24m20.1s,-31.405586,17.98,0.75,-0.69,11.130,0.010,1.510,0.010,M2V:,0.050,0.140
HIP 1768,HIP 1768,HD 1815,GJ 17.2,2MASS J00222359-2701567,1,0,0,0,0,0,0,00h22m23.47s,5.597799,-27d01m53.8s,-27.031602,28.88,4.32,-3.32,8.320,0.020,0.890,0.000,K1V,0.430,0.330
HIP 1803,HIP 1803,HD 1835,GJ 17.3,2MASS J00225174-1212340,1,0,0,0,0,0,0,00h22m51.55s,5.714804,-12d12m34.5s,-12.209585,20.86,0.21,-0.21,6.390,0.000,0.660,0.000,G3V,1.090,0.030
HIP 1837,HIP 1837,HD 1910,GJ 2004,2MASS J00231598-3310032,1,0,0,0,0,0,0,00h23m15.98s,5.816599,-33d10m04.2s,-33.167832,22.17,0.45,-0.43,8.750,0.030,1.080,0.000,K3/4V,0.210,0.080
HIP 1842,HIP 1842,,GJ 3032,2MASS J00231851-5053380,1,0,0,0,0,0,0,00h23m18.02s,5.825079,-50d53m37.9s,-50.893872,19.68,1.04,-0.94,11.890,0.010,1.520,0.010,M:,0.030,0.160
HIP 1860,HIP 1860,,GJ 1010 A,2MASS J00232865+7711217,1,0,0,0,0,0,0,00h23m31.03s,5.879297,+77d11m21.1s,77.189181,19.23,0.80,-0.74,11.310,0.010,1.460,0.010,K,0.040,0.130
HIP 1936,HIP 1936,HD 2025,GJ 18,2MASS J00242587-2701364,1,0,0,0,0,0,0,00h24m25.50s,6.106239,-27d01m37.1s,-27.026976,18.22,0.37,-0.36,7.920,0.010,0.950,0.010,K2V,0.260,0.050
HIP 1954,HIP 1954,HD 2071,,2MASS J00244255-5359024,1,0,0,0,0,0,0,00h24m42.34s,6.176414,-53d59m02.1s,-53.983930,27.23,0.56,-0.53,7.270,0.020,0.670,0.020,G8IV+(F),0.830,0.060
HIP 2021,HIP 2021,HD 2151,GJ 19,2MASS J00254416-7715157,1,1,1,0,0,0,0,00h25m39.20s,6.413342,-77d15m18.1s,-77.255035,7.46,,,2.820,0.010,0.620,0.010,G1IV,3.700,0.050
HIP 2072,HIP 2072,HD 2262,GJ 20,2MASS J00261219-4340475,1,1,0,0,0,0,0,00h26m12.12s,6.550484,-43d40m47.7s,-43.679909,23.81,,,3.930,0.010,0.180,0.010,A6VN,12.770,0.050
HIP 2081,HIP 2081,HD 2261,GJ 9013,2MASS J00261699-4218216,1,1,0,0,0,0,0,00h26m16.87s,6.570281,-42d18m18.4s,-42.305122,25.97,0.53,-0.51,2.400,0.010,1.080,0.020,K0IIIB,88.070,0.070
HIP 2120,HIP 2120,,GJ 21,2MASS J00265268+7008326,1,0,0,0,0,0,0,00h26m52.94s,6.720574,+70d08m34.0s,70.142777,16.48,0.34,-0.32,10.520,0.010,1.460,0.020,M0,0.050,0.110
HIP 2426,HIP 2426,,,2MASS J00305564+7322150,1,0,0,0,0,0,0,00h30m55.09s,7.729544,+73d22m13.7s,73.370471,27.09,1.13,-1.04,10.630,0.010,1.360,0.020,,0.080,0.100
HIP 2540,HIP 2540,,GJ 3038,2MASS J00321547-6305284,1,0,0,0,0,0,0,00h32m14.74s,8.061399,-63d05m27.6s,-63.091013,24.97,0.77,-0.73,9.650,0.000,1.370,0.000,M0,0.190,0.070
HIP 2552 A,HIP 2552 A,,GJ 22 A,2MASS J00322970+6714080 A,1,0,0,0,0,0,0,00h32m26.81s,8.111716,+67d14m10.4s,67.236215,10.07,0.21,-0.20,10.480,0.140,1.290,0.140,M2.5Ve,0.010,0.210
HIP 2711,HIP 2711,HD 3158,GJ 22.2,2MASS J00342781-5222236,1,0,0,0,0,0,0,00h34m27.62s,8.615063,-52d22m23.5s,-52.373183,25.48,0.26,-0.25,5.570,0.020,0.470,0.010,F6V,3.280,0.050
HIP 2715,HIP 2715,HD 3125 C,,2MASS J00343071-0432334,1,0,0,0,0,0,0,00h34m30.67s,8.627778,-04d32m33.6s,-4.542658,22.94,12.35,-5.95,8.580,0.030,0.650,0.030,G0,0.160,0.960
HIP 2742,HIP 2742,HD 3141,,2MASS J00350087+4241412,1,0,0,0,0,0,0,00h35m01.00s,8.754168,+42d41m41.8s,42.694950,28.90,0.59,-0.57,8.020,0.020,0.890,0.020,K0IV,0.530,0.080
HIP 2743,HIP 2743,HD 3222,,2MASS J00350291-6341430,1,0,0,0,0,0,0,00h35m01.65s,8.756878,-63d41m37.8s,-63.693828,29.24,0.60,-0.57,8.540,0.020,0.850,0.010,K2V,0.360,0.080
HIP 2762 A,HIP 2762 A,HD 3196,GJ 23 A,2MASS J00351484-0335343 A,1,0,0,0,0,0,0,00h35m14.64s,8.811004,-03d35m33.9s,-3.592758,21.25,0.21,-0.21,5.200,0.010,0.570,0.010,F8V,3.310,0.110
HIP 2790,HIP 2790,HD 3277,,2MASS J00353424-3944465,1,0,0,0,0,0,0,00h35m34.17s,8.892365,-39d44m45.2s,-39.745890,28.79,0.59,-0.56,7.450,0.000,0.730,0.000,G8V,0.850,0.050
HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,9.332446,-24d46m02.0s,-24.767225,15.40,0.48,-0.45,5.570,0.000,0.720,0.000,K1V+G,1.320,0.080
HIP 3008,HIP 3008,,GJ 3044,2MASS J00381529+5219558,1,0,0,0,0,0,0,00h38m15.36s,9.564008,+52d19m56.7s,52.332425,23.70,1.25,-1.13,10.480,0.010,1.420,0.020,M0,0.080,0.120
HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,9.842061,+21d15m04.9s,21.251374,11.06,,,5.880,0.010,0.850,0.010,K0V,0.540,0.050
GJ 27.1,HIP 3143,,GJ 27.1,2MASS J00395880-4415117,1,0,0,0,0,0,1,00h39m58.43s,9.993460,-44d15m09.6s,-44.252679,23.99,1.81,-1.57,11.410,0.010,1.480,0.010,M4,0.050,0.180
