# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:45:56 2023
#
# COLUMN tic_id:         TIC ID
# COLUMN hip_name:       HIP ID
# COLUMN hip_compname:   HIP Component ID
# COLUMN hd_name:        HD ID
# COLUMN hr_name:        HR ID
# COLUMN gj_name:        GJ ID
# COLUMN constellation:  Constellation ID
# COLUMN hostname:       Host Name
# COLUMN sy_dist:        Distance [pc]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_plxerr:      Parallax [mas] Unc
# COLUMN sy_plx_reflink: Parallax [mas] Reference
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr:     V (Johnson) Magnitude Unc
# COLUMN sy_vmag_reflink: V (Johnson) Magnitude Reference
# COLUMN sy_bvmag:       B-V (Johnson) Color [mag]
# COLUMN sy_bvmagerr:    B-V (Johnson) Color [mag] Unc
# COLUMN sy_bvmag_reflink: B-V (Johnson) Color [mag] Reference
# COLUMN sy_rcmag:       R (Cousins) Magnitude
# COLUMN sy_rcmag_reflink: R (Cousins) Magnitude Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_spectype_reflink: Spectral Type Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teff_reflink: Stellar Effective Temperature [K] Reference
# COLUMN st_lum:         Stellar Luminosity [log10(Solar)]
# COLUMN st_lumerr:      Stellar Luminosity Unc. [log10(Solar)]
# COLUMN st_lum_reflink: Stellar Luminosity [log10(Solar)] Reference
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_diam:        Stellar Angular Diameter [mas]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr:      Stellar Metallicity Unc. [dex]
# COLUMN st_met_reflink: Stellar Metallicity [dex] Reference
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_logg_reflink: Stellar Surface Gravity [log10(cm/s**2)] Reference
# COLUMN st_log_rhk:     Stellar Ca II Chromospheric Activity Index [log R HK]
# COLUMN st_log_rhk_reflink: Stellar Ca II Chromospheric Activity Index [log R HK] Reference
# COLUMN st_eei_orbsep:  Earth Equivalent Insolation Distance [au]
# COLUMN st_eei_angsep:  Earth Equivalent Insolation Distance [mas]
# COLUMN st_etwin_bratio: Earth Equivalent Planet-Star Ratio
# COLUMN st_etwin_rcmag: Earth Equivalent R (Cousins) Magnitude
# COLUMN st_eei_orbper:  Orbital Period at EEID [days]
# COLUMN st_etwin_rvamp: Earth Equivalent Radial Velocity Amplitude [cm/s]
# COLUMN st_etwin_astamp: Earth Equivalent Astrometric Amplitude [uas]
# COLUMN wds_designation: WDS Designation
# COLUMN wds_comp:       WDS Component
# COLUMN wds_sep:        WDS Separation [arcsec]
# COLUMN wds_deltamag:   WDS Delta mag
# COLUMN sy_disks_flag:  Disks Flag
# COLUMN sy_disks_flag_reflink: Disks Flag Reference
# COLUMN sy_planets_flag: Planets Flag
# COLUMN sy_pnum:        Number of Planets
# COLUMN target_group:   Target Group
#
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,ra,dec,sy_plx,sy_plxerr,sy_plx_reflink,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,sy_planets_flag,sy_pnum,target_group
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 393844873"" target=_blank>TIC 393844873</a>",HIP 41926,,HD 72673,HR 3384,GJ 309,,HD 72673,12.1643,128.2145653,-31.5008514,82.2080,0.0178,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.378,0.001,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.784,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",5.910,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",K1V,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",5261,14,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.3941,0.0089,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.765,0.585,0.85,-0.390,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.560,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.946,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",0.635,52.22,2.87e-10,29.77,200.6,12.25,0.185,,,,,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 417762326"" target=_blank>TIC 417762326</a>",HIP 42438,,HD 72905,HR 3391,GJ 311,3 UMa,3 Ursae Majoris A,14.4388,129.7987692,65.0209064,69.2576,0.0485,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.630,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.618,0.003,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.260,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G0.5V Fe-0.5,"<a href=""https://ui.adsabs.harvard.edu/abs/2001AJ....121.2148G/abstract"" target=_blank>2001AJ....121.2148G</a>",5893,14,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.0118,0.0118,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.946,0.610,1.08,-0.070,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.530,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.375,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",0.987,68.32,1.19e-10,30.07,345.2,8.74,0.191,,,,,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2008ApJ...674.1086T/abstract"" target=_blank>2008ApJ...674.1086T</a>",N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 181273463"" target=_blank>TIC 181273463</a>",HIP 42808,,HD 74576,,GJ 320,,HD 74576,11.1917,130.8251265,-38.8823808,89.3522,0.0151,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.556,0.006,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.932,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",6.042,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",K2.5V(k),"<a href=""https://ui.adsabs.harvard.edu/abs/2006AJ....132..161G/abstract"" target=_blank>2006AJ....132..161G</a>",4992,22,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.4982,0.0104,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.753,0.626,0.76,0.010,0.040,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.600,0.05,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.351,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",0.564,50.35,3.64e-10,29.64,177.2,13.75,0.199,,,,,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 332064670"" target=_blank>TIC 332064670</a>",HIP 43587,A,HD 75732 A,HR 3522 A,GJ 324A,55 Cnc A,Copernicus,12.5868,133.1492129,28.3308208,79.4482,0.0429,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.960,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",0.860,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",5.490,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",K0IV-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5292,43,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.1970,0.0114,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.948,0.701,0.95,0.320,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.400,0.02,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.991,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",0.797,63.33,1.82e-10,29.84,266.7,10.34,0.200,08526+2820,A,85.10,7.11,N,,Y,5,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 62569281"" target=_blank>TIC 62569281</a>",HIP 43726,,HD 76151,HR 3538,GJ 327,,HD 76151,16.8465,133.5747796,-5.4344595,59.3595,0.0408,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",6.008,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.661,0.012,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.640,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",G2V,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",5780,9,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.0127,0.0115,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",0.983,0.543,1.02,0.100,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.490,0.02,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.659,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",0.985,58.50,1.19e-10,30.45,353.8,8.98,0.172,,,,,Y,"<a href=""https://ui.adsabs.harvard.edu/abs/2008ApJ...674.1086T/abstract"" target=_blank>2008ApJ...674.1086T</a>",N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 355127594"" target=_blank>TIC 355127594</a>",HIP 44897,,HD 78366,HR 3625,GJ 334.2,,HD 78366,18.9498,137.2127933,33.8822184,52.7709,0.0309,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.962,0.001,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.585,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",5.590,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G0IV-V,"<a href=""https://ui.adsabs.harvard.edu/abs/2003AJ....126.2048G/abstract"" target=_blank>2003AJ....126.2048G</a>",5992,20,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.1029,0.0131,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.045,0.513,1.08,0.040,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.500,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.608,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",1.126,59.41,9.13e-11,30.69,419.8,8.16,0.165,,,,,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 219709102"" target=_blank>TIC 219709102</a>",HIP 45038,A,HD 78154 A,HR 3616 A,GJ 335A,13 UMa A,13 Ursae Majoris A,20.5169,137.5981111,67.1340172,48.7404,0.0763,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.809,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/2001KFNT...17e.409K/abstract"" target=_blank>2001KFNT...17e.409K</a>",0.486,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1997yCat.2168....0M/abstract"" target=_blank>1997yCat.2168....0M</a>",4.520,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",F7V,"<a href=""https://ui.adsabs.harvard.edu/abs/1981ApJS...45..437A/abstract"" target=_blank>1981ApJS...45..437A</a>",6325,42,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.6096,0.0157,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.680,0.762,1.21,-0.020,0.040,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.070,0.07,"<a href=""https://ui.adsabs.harvard.edu/abs/2008MNRAS.384..173F/abstract"" target=_blank>2008MNRAS.384..173F</a>",-4.901,"<a href=""https://ui.adsabs.harvard.edu/abs/2018A&A...616A.108B/abstract"" target=_blank>2018A&A...616A.108B</a>",2.018,98.34,2.84e-11,30.89,951.6,5.76,0.244,09104+6708,A,4.47,3.98,N,,N,0,C
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 8915802"" target=_blank>TIC 8915802</a>",HIP 47080,A,HD 82885 A,HR 3815 A,GJ 356A,11 LMi A,11 Leo Minoris A,11.2348,143.9145925,35.8101325,89.0092,0.0937,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.402,0.005,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.770,0.002,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.970,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G9-IV-V Hdel1,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",5518,21,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-0.1057,0.0039,"<a href=""https://ui.adsabs.harvard.edu/abs/2012ApJ...757..112B/abstract"" target=_blank>2012ApJ...757..112B</a>",0.969,0.802,0.94,0.340,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.440,0.04,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-4.638,"<a href=""https://ui.adsabs.harvard.edu/abs/1996ApJ...457L..99B/abstract"" target=_blank>1996ApJ...457L..99B</a>",0.885,78.81,1.48e-10,29.55,313.9,9.87,0.252,09357+3549,A,7.13,7.70,N,,N,0,B
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 11310083"" target=_blank>TIC 11310083</a>",HIP 47592,,HD 84117,HR 3862,GJ 364,,HD 84117,14.9515,145.5600675,-23.9155672,66.8827,0.1123,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",4.914,0.012,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.534,0.004,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.615,"<a href=""https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract"" target=_blank>1980SAAOC...1..166C</a>",F9V,"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",6163,20,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.2961,0.0141,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.233,0.767,1.14,-0.060,0.020,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.340,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.023,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",1.406,94.05,5.85e-11,30.20,570.5,7.11,0.248,,,,,N,,N,0,A
"<a href=""https://exoplanetarchive.ipac.caltech.edu/overview/TIC 23969522"" target=_blank>TIC 23969522</a>",HIP 48113,,HD 84737,HR 3881,GJ 368,,HD 84737,18.8226,147.1473806,46.0210074,53.1277,0.0773,"<a href=""https://ui.adsabs.harvard.edu/abs/2022yCat.1355....0G/abstract"" target=_blank>2022yCat.1355....0G</a>",5.086,0.006,"<a href=""https://ui.adsabs.harvard.edu/abs/1998A&AS..129..431H/abstract"" target=_blank>1998A&AS..129..431H</a>",0.619,0.007,"<a href=""https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract"" target=_blank>1997HIP...C......0E</a>",4.700,"<a href=""https://ui.adsabs.harvard.edu/abs/2010PASP..122.1437P/abstract"" target=_blank>2010PASP..122.1437P</a>",G0(V),"<a href=""https://ui.adsabs.harvard.edu/abs/1989ApJS...71..245K/abstract"" target=_blank>1989ApJS...71..245K</a>",5893,13,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",0.4464,0.0119,"<a href=""https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract"" target=_blank>2019AJ....158..138S</a>",1.604,0.793,1.08,0.100,0.010,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",4.120,0.03,"<a href=""https://ui.adsabs.harvard.edu/abs/2022A&A...663A...4S/abstract"" target=_blank>2022A&A...663A...4S</a>",-5.085,"<a href=""https://ui.adsabs.harvard.edu/abs/2010ApJ...725..875I/abstract"" target=_blank>2010ApJ...725..875I</a>",1.672,88.83,4.14e-11,30.66,761.6,6.71,0.248,,,,,N,,N,0,B
