School Name	Location	Dates	Religion	Notes	Latitude	Longitude
Ahousaht Indian Residential School	Ashousaht, B.C.	1901-1950	Presbyterian		49.276165899999995	-126.05636729999999
Akaitcho Hall	Yellowknife, N.W.T.	1958-1994	Federal	 dormitory for Sir John Franklin High School	62.453971700000004	-114.37178870000001
Aklavik Anglican Indian Residential School	Single Point and Aklavik, N.W.T.	1924-1959	Anglican	moved to Aklavik in 1934 due to overcrowding	68.22027800000001	-135.011667
Aklavik Catholic Indian Residential School 	Aklavik, N.W.T.	1925-1930	Roman Catholic	 Also known as Inuvik Indian Residential School. Relocated to Inuvik in 1959; Stringer Hall was Anglican Residence and Grollier Hall the RC residence.	68.219916	-135.0077881
Albany Mission Indian Residential School	 Fort Albany, Ont	1912-1963	Roman Catholic		52.30636060000001	-81.7276723
Alberni Indian residential School	Prince Albert, Sask.	1920-1973	United Church	Burned in 1917, rebuilt in 1920; burned again in 1937, rebuilt in 1939.	53.2	-105.75
Alexandra Industrial School for Girls	Toronto, Ontario	1897-?			43.653226000000004	-79.3831843
All Hallows School for Girls	Yale, BC	1884-1914	Anglican	amalgamated with St.George’s Indian Residential School, Lytton, BC 1917,] Diocese of New Westminster, Diocese of Cariboo.	49.561062	-121.42917209999999
All Saints Indian Residential School	Aklavik, NWT	1936-1959	Anglican	Diocese of the Arctic, enrolment 100-150	68.219916	-135.0077881
All Saints Indian Residential School	Lac La Ronge, SK	1906-1947	Anglican	 [amalgamated 1948 with new Prince Albert Indian Residential School, a.k.a. All Saints School until 1953,] Diocese of Saskatchewan, Authorized Enrolment – 50 to 100.	55.043040399999995	-104.903304
Alnwick Industrial School	Alderville, Ont.	1838-1996	Methodist	Worked in partnership with Mount Elgin Indian Residential School.	44.181311	-78.06691699999998
Amos Indian Residential school	Amos, Que.	1845-1965	Roman Catholic	Also known as St. Marc's Indian Residential School	45.5643919	-73.2075368
Armstrong Indian Residential School	Armstrong, Ont.	1880-1891	Roman Catholic	Also known as Armstrong Home and School	47.71102	-79.82378620000001
Aroland Indian Day School	Ontario				51.253775	-85.32321400000002
Assiniboia Indian Residential School	Winnipeg, Man.	1957-1973	Roman Catholic		49.895136	-97.1383744
Assumption Indian Residential School	Hay Lakes, Alta.	1953-1965	Roman Catholic	Also known as Hay Lakes Indian Residential School (Hay Lakes, Alta.)	53.1964307	-113.05477150000002
Baptist Indian residential School	Whitehorse, YT	1990-1968	Baptist	Also known as Yukon Indian Residential School	60.7211871	-135.05684480000002
Battleford Industrial School	Battleford, Sask.	1883-1943	Roman Catholic		52.73626820000001	-108.30524309999998
