"Country or Area","Year","Area","Sex","Language","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","25776","1"
"Åland Islands","2000","Total","Both Sexes","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","1238","1"
"Åland Islands","2000","Total","Both Sexes","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","24169","1"
"Åland Islands","2000","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","369","1"
"Åland Islands","2000","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2009","12700","1"
"Åland Islands","2000","Total","Male","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","408","1"
"Åland Islands","2000","Total","Male","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","12103","1"
"Åland Islands","2000","Total","Male","Other","Census - de jure - complete tabulation","Final figure, complete","2009","189","1"
"Åland Islands","2000","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2009","13076","1"
"Åland Islands","2000","Total","Female","Finnish","Census - de jure - complete tabulation","Final figure, complete","2009","830","1"
"Åland Islands","2000","Total","Female","Swedish","Census - de jure - complete tabulation","Final figure, complete","2009","12066","1"
"Åland Islands","2000","Total","Female","Other","Census - de jure - complete tabulation","Final figure, complete","2009","180","1"
"Albania","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","2800138",""
"Albania","2011","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2013","2765610",""
"Albania","2011","Total","Both Sexes","Aromanian","Census - de jure - complete tabulation","Final figure, complete","2013","3848",""
"Albania","2011","Total","Both Sexes","Greek","Census - de jure - complete tabulation","Final figure, complete","2013","15196",""
"Albania","2011","Total","Both Sexes","Romani (Gypsy)","Census - de jure - complete tabulation","Final figure, complete","2013","4025",""
"Albania","2011","Total","Both Sexes","Italian","Census - de jure - complete tabulation","Final figure, complete","2013","523",""
"Albania","2011","Total","Both Sexes","Macedonian","Census - de jure - complete tabulation","Final figure, complete","2013","4443",""
"Albania","2011","Total","Both Sexes","Not stated","Census - de jure - complete tabulation","Final figure, complete","2013","3843",""
"Albania","2011","Total","Both Sexes","Turkish","Census - de jure - complete tabulation","Final figure, complete","2013","714",""
"Albania","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2013","1870",""
"Albania","2011","Total","Both Sexes","Serbo-Croatian","Census - de jure - complete tabulation","Final figure, complete","2013","66",""
"Algeria","2008","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2015","30650174.9590606","2,3"
"Algeria","2008","Total","Both Sexes","Arabic","Census - de jure - complete tabulation","Final figure, complete","2015","12330798.3870039","2,3"
