Entity,Code,Year,Per capita CO₂ emissions (tonnes per capita)
Afghanistan,AFG,1800,0
Afghanistan,AFG,1801,0
Afghanistan,AFG,1802,0
Afghanistan,AFG,1803,0
Afghanistan,AFG,1804,0
Afghanistan,AFG,1805,0
Afghanistan,AFG,1806,0
Afghanistan,AFG,1807,0
Afghanistan,AFG,1808,0
Afghanistan,AFG,1809,0
Afghanistan,AFG,1810,0
Afghanistan,AFG,1811,0
Afghanistan,AFG,1812,0
Afghanistan,AFG,1813,0
Afghanistan,AFG,1814,0
Afghanistan,AFG,1815,0
Afghanistan,AFG,1816,0
Afghanistan,AFG,1817,0
Afghanistan,AFG,1818,0
Afghanistan,AFG,1819,0
Afghanistan,AFG,1820,0
Afghanistan,AFG,1821,0
Afghanistan,AFG,1822,0
Afghanistan,AFG,1823,0
Afghanistan,AFG,1824,0
Afghanistan,AFG,1825,0
Afghanistan,AFG,1826,0
Afghanistan,AFG,1827,0
Afghanistan,AFG,1828,0
Afghanistan,AFG,1829,0
Afghanistan,AFG,1830,0
Afghanistan,AFG,1831,0
Afghanistan,AFG,1832,0
Afghanistan,AFG,1833,0
Afghanistan,AFG,1834,0
Afghanistan,AFG,1835,0
Afghanistan,AFG,1836,0
Afghanistan,AFG,1837,0
Afghanistan,AFG,1838,0
Afghanistan,AFG,1839,0
Afghanistan,AFG,1840,0
Afghanistan,AFG,1841,0
Afghanistan,AFG,1842,0
Afghanistan,AFG,1843,0
Afghanistan,AFG,1844,0
Afghanistan,AFG,1845,0
Afghanistan,AFG,1846,0
Afghanistan,AFG,1847,0
Afghanistan,AFG,1848,0
Afghanistan,AFG,1849,0
Afghanistan,AFG,1850,0
Afghanistan,AFG,1851,0
Afghanistan,AFG,1852,0
Afghanistan,AFG,1853,0
Afghanistan,AFG,1854,0
Afghanistan,AFG,1855,0
Afghanistan,AFG,1856,0
Afghanistan,AFG,1857,0
Afghanistan,AFG,1858,0
Afghanistan,AFG,1859,0
Afghanistan,AFG,1860,0
Afghanistan,AFG,1861,0
Afghanistan,AFG,1862,0
Afghanistan,AFG,1863,0
Afghanistan,AFG,1864,0
Afghanistan,AFG,1865,0
Afghanistan,AFG,1866,0
Afghanistan,AFG,1867,0
Afghanistan,AFG,1868,0
Afghanistan,AFG,1869,0
Afghanistan,AFG,1870,0
Afghanistan,AFG,1871,0
Afghanistan,AFG,1872,0
Afghanistan,AFG,1873,0
Afghanistan,AFG,1874,0
Afghanistan,AFG,1875,0
Afghanistan,AFG,1876,0
Afghanistan,AFG,1877,0
Afghanistan,AFG,1878,0
Afghanistan,AFG,1879,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1881,0
Afghanistan,AFG,1882,0
Afghanistan,AFG,1883,0
Afghanistan,AFG,1884,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1886,0
Afghanistan,AFG,1887,0
Afghanistan,AFG,1888,0
Afghanistan,AFG,1889,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1891,0
Afghanistan,AFG,1892,0
Afghanistan,AFG,1893,0
Afghanistan,AFG,1894,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1896,0
Afghanistan,AFG,1897,0
Afghanistan,AFG,1898,0
Afghanistan,AFG,1899,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1901,0
Afghanistan,AFG,1902,0
Afghanistan,AFG,1903,0
Afghanistan,AFG,1904,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1906,0
Afghanistan,AFG,1907,0
Afghanistan,AFG,1908,0
Afghanistan,AFG,1909,0
Afghanistan,AFG,1910,0
Afghanistan,AFG,1911,0
Afghanistan,AFG,1912,0
Afghanistan,AFG,1913,0
Afghanistan,AFG,1914,0
Afghanistan,AFG,1915,0
Afghanistan,AFG,1916,0
Afghanistan,AFG,1917,0
Afghanistan,AFG,1918,0
Afghanistan,AFG,1919,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1921,0
Afghanistan,AFG,1922,0
Afghanistan,AFG,1923,0
Afghanistan,AFG,1924,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1926,0
Afghanistan,AFG,1927,0
Afghanistan,AFG,1928,0
Afghanistan,AFG,1929,0
Afghanistan,AFG,1930,0
Afghanistan,AFG,1931,0
Afghanistan,AFG,1932,0
Afghanistan,AFG,1933,0
Afghanistan,AFG,1934,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1936,0
Afghanistan,AFG,1937,0
Afghanistan,AFG,1938,0
Afghanistan,AFG,1939,0
Afghanistan,AFG,1940,0
Afghanistan,AFG,1941,0
Afghanistan,AFG,1942,0
Afghanistan,AFG,1943,0
Afghanistan,AFG,1944,0
Afghanistan,AFG,1945,0
Afghanistan,AFG,1946,0
Afghanistan,AFG,1947,0
Afghanistan,AFG,1948,0
Afghanistan,AFG,1949,0.001912371
Afghanistan,AFG,1950,0.010870836
Afghanistan,AFG,1951,0.011684404
Afghanistan,AFG,1952,0.011543822
Afghanistan,AFG,1953,0.013218229
Afghanistan,AFG,1954,0.013036831
Afghanistan,AFG,1955,0.018606673
Afghanistan,AFG,1956,0.021812043
Afghanistan,AFG,1957,0.034340045
Afghanistan,AFG,1958,0.037986643
Afghanistan,AFG,1959,0.043530909
Afghanistan,AFG,1960,0.046005699
Afghanistan,AFG,1961,0.053540999
Afghanistan,AFG,1962,0.073679007
Afghanistan,AFG,1963,0.074128319
Afghanistan,AFG,1964,0.086169944
Afghanistan,AFG,1965,0.101315615
Afghanistan,AFG,1966,0.107478649
Afghanistan,AFG,1967,0.123581494
Afghanistan,AFG,1968,0.115366821
Afghanistan,AFG,1969,0.086714102
Afghanistan,AFG,1970,0.150132952
Afghanistan,AFG,1971,0.165874973
Afghanistan,AFG,1972,0.130623915
Afghanistan,AFG,1973,0.136121353
Afghanistan,AFG,1974,0.155473871
Afghanistan,AFG,1975,0.168743242
Afghanistan,AFG,1976,0.154531088
Afghanistan,AFG,1977,0.182646928
Afghanistan,AFG,1978,0.162823914
Afghanistan,AFG,1979,0.167953345
Afghanistan,AFG,1980,0.132621747
Afghanistan,AFG,1981,0.151630114
Afghanistan,AFG,1982,0.164360605
Afghanistan,AFG,1983,0.20340921
Afghanistan,AFG,1984,0.234281408
Afghanistan,AFG,1985,0.297197555
Afghanistan,AFG,1986,0.27015437
Afghanistan,AFG,1987,0.270731514
Afghanistan,AFG,1988,0.247561877
Afghanistan,AFG,1989,0.234757996
Afghanistan,AFG,1990,0.212456802
Afghanistan,AFG,1991,0.186743898
Afghanistan,AFG,1992,0.098812604
Afghanistan,AFG,1993,0.088362263
Afghanistan,AFG,1994,0.079299491
Afghanistan,AFG,1995,0.071998403
Afghanistan,AFG,1996,0.065372973
Afghanistan,AFG,1997,0.058997796
Afghanistan,AFG,1998,0.054572812
Afghanistan,AFG,1999,0.041722442
Afghanistan,AFG,2000,0.038230545
Afghanistan,AFG,2001,0.038732063
Afghanistan,AFG,2002,0.048411218
Afghanistan,AFG,2003,0.051466649
Afghanistan,AFG,2004,0.039033809
Afghanistan,AFG,2005,0.052660873
Afghanistan,AFG,2006,0.063461841
Afghanistan,AFG,2007,0.085222257
Afghanistan,AFG,2008,0.1538186
Afghanistan,AFG,2009,0.241402428
Afghanistan,AFG,2010,0.293447736
Afghanistan,AFG,2011,0.411531267
Afghanistan,AFG,2012,0.349938802
Afghanistan,AFG,2013,0.315155446
Afghanistan,AFG,2014,0.29883325
Afghanistan,AFG,2015,0.299599261
Afghanistan,AFG,2016,0.353701996
Afghanistan,AFG,2017,0.366301998
Albania,ALB,1800,0
Albania,ALB,1801,0
Albania,ALB,1802,0
Albania,ALB,1803,0
Albania,ALB,1804,0
Albania,ALB,1805,0
Albania,ALB,1806,0
Albania,ALB,1807,0
Albania,ALB,1808,0
Albania,ALB,1809,0
Albania,ALB,1810,0
Albania,ALB,1811,0
Albania,ALB,1812,0
Albania,ALB,1813,0
Albania,ALB,1814,0
Albania,ALB,1815,0
Albania,ALB,1816,0
Albania,ALB,1817,0
Albania,ALB,1818,0
Albania,ALB,1819,0
Albania,ALB,1820,0
Albania,ALB,1821,0
Albania,ALB,1822,0
Albania,ALB,1823,0
Albania,ALB,1824,0
Albania,ALB,1825,0
Albania,ALB,1826,0
Albania,ALB,1827,0
Albania,ALB,1828,0
Albania,ALB,1829,0
Albania,ALB,1830,0
Albania,ALB,1831,0
Albania,ALB,1832,0
Albania,ALB,1833,0
Albania,ALB,1834,0
Albania,ALB,1835,0
Albania,ALB,1836,0
Albania,ALB,1837,0
Albania,ALB,1838,0
Albania,ALB,1839,0
Albania,ALB,1840,0
Albania,ALB,1841,0
Albania,ALB,1842,0
Albania,ALB,1843,0
Albania,ALB,1844,0
Albania,ALB,1845,0
Albania,ALB,1846,0
Albania,ALB,1847,0
Albania,ALB,1848,0
Albania,ALB,1849,0
Albania,ALB,1850,0
Albania,ALB,1851,0
Albania,ALB,1852,0
Albania,ALB,1853,0
Albania,ALB,1854,0
Albania,ALB,1855,0
Albania,ALB,1856,0
Albania,ALB,1857,0
Albania,ALB,1858,0
Albania,ALB,1859,0
Albania,ALB,1860,0
Albania,ALB,1861,0
Albania,ALB,1862,0
Albania,ALB,1863,0
Albania,ALB,1864,0
Albania,ALB,1865,0
Albania,ALB,1866,0
Albania,ALB,1867,0
Albania,ALB,1868,0
Albania,ALB,1869,0
Albania,ALB,1870,0
Albania,ALB,1871,0
Albania,ALB,1872,0
Albania,ALB,1873,0
Albania,ALB,1874,0
Albania,ALB,1875,0
Albania,ALB,1876,0
Albania,ALB,1877,0
Albania,ALB,1878,0
Albania,ALB,1879,0
Albania,ALB,1880,0
Albania,ALB,1881,0
Albania,ALB,1882,0
Albania,ALB,1883,0
Albania,ALB,1884,0
Albania,ALB,1885,0
Albania,ALB,1886,0
Albania,ALB,1887,0
Albania,ALB,1888,0
Albania,ALB,1889,0
Albania,ALB,1890,0
Albania,ALB,1891,0
Albania,ALB,1892,0
Albania,ALB,1893,0
Albania,ALB,1894,0
Albania,ALB,1895,0
Albania,ALB,1896,0
Albania,ALB,1897,0
Albania,ALB,1898,0
Albania,ALB,1899,0
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
Albania,ALB,1924,0
Albania,ALB,1925,0
Albania,ALB,1926,0
Albania,ALB,1927,0
Albania,ALB,1928,0
Albania,ALB,1929,0
Albania,ALB,1930,0
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,0.00709942
Albania,ALB,1934,0.007061683
Albania,ALB,1935,0.017560862
Albania,ALB,1936,0.121838831
Albania,ALB,1937,0.279135649
Albania,ALB,1938,0.321542458
Albania,ALB,1939,0.392146405
Albania,ALB,1940,0.616531326
Albania,ALB,1941,0.549881694
Albania,ALB,1942,0.646717166
Albania,ALB,1943,0.398781019
Albania,ALB,1944,0.132100868
Albania,ALB,1945,0.102729496
Albania,ALB,1946,0.404635952
Albania,ALB,1947,0.763658442
Albania,ALB,1948,0.570621611
Albania,ALB,1949,0.814133396
Albania,ALB,1950,0.234951004
Albania,ALB,1951,0.313041506
Albania,ALB,1952,0.283968637
Albania,ALB,1953,0.307122845
Albania,ALB,1954,0.362987914
Albania,ALB,1955,0.467040853
Albania,ALB,1956,0.575054709
Albania,ALB,1957,1.003836286
Albania,ALB,1958,0.778755098
Albania,ALB,1959,0.908801096
Albania,ALB,1960,1.236221743
Albania,ALB,1961,1.351804971
Albania,ALB,1962,1.416980693
Albania,ALB,1963,1.162308004
Albania,ALB,1964,1.093082909
Albania,ALB,1965,1.145890698
Albania,ALB,1966,1.309253331
Albania,ALB,1967,1.340067734
Albania,ALB,1968,1.498392261
Albania,ALB,1969,1.544369474
Albania,ALB,1970,1.739490133
Albania,ALB,1971,1.975067608
Albania,ALB,1972,2.50190164
Albania,ALB,1973,2.29277759
Albania,ALB,1974,1.840961677
Albania,ALB,1975,1.90400497
Albania,ALB,1976,2.007193824
Albania,ALB,1977,2.270107456
Albania,ALB,1978,2.52306472
Albania,ALB,1979,2.886515787
Albania,ALB,1980,1.926810702
Albania,ALB,1981,2.681698618
Albania,ALB,1982,2.618913078
Albania,ALB,1983,2.6823048
Albania,ALB,1984,2.694719313
Albania,ALB,1985,2.654018238
Albania,ALB,1986,2.647086311
Albania,ALB,1987,2.382928336
Albania,ALB,1988,2.289808753
Albania,ALB,1989,2.758988658
Albania,ALB,1990,1.679333612
Albania,ALB,1991,1.307680119
Albania,ALB,1992,0.775632316
Albania,ALB,1993,0.731747065
Albania,ALB,1994,0.612495403
Albania,ALB,1995,0.671063135
Albania,ALB,1996,0.651698387
Albania,ALB,1997,0.498714372
Albania,ALB,1998,0.564280925
Albania,ALB,1999,0.957285587
Albania,ALB,2000,0.967061183
Albania,ALB,2001,1.031465459
Albania,ALB,2002,1.201743235
Albania,ALB,2003,1.379150467
Albania,ALB,2004,1.343655244
Albania,ALB,2005,1.380315987
Albania,ALB,2006,1.275183338
Albania,ALB,2007,1.297706576
Albania,ALB,2008,1.461116955
Albania,ALB,2009,1.476663848
Albania,ALB,2010,1.56252914
Albania,ALB,2011,1.789021543
Albania,ALB,2012,1.680147423
Albania,ALB,2013,1.73347795
Albania,ALB,2014,1.955705592
Albania,ALB,2015,2.034556318
Albania,ALB,2016,2.143578939
Albania,ALB,2017,2.177064808
Algeria,DZA,1800,0
Algeria,DZA,1801,0
Algeria,DZA,1802,0
Algeria,DZA,1803,0
Algeria,DZA,1804,0
Algeria,DZA,1805,0
Algeria,DZA,1806,0
Algeria,DZA,1807,0
Algeria,DZA,1808,0
Algeria,DZA,1809,0
Algeria,DZA,1810,0
Algeria,DZA,1811,0
Algeria,DZA,1812,0
Algeria,DZA,1813,0
Algeria,DZA,1814,0
Algeria,DZA,1815,0
Algeria,DZA,1816,0
Algeria,DZA,1817,0
Algeria,DZA,1818,0
Algeria,DZA,1819,0
Algeria,DZA,1820,0
Algeria,DZA,1821,0
Algeria,DZA,1822,0
Algeria,DZA,1823,0
Algeria,DZA,1824,0
Algeria,DZA,1825,0
Algeria,DZA,1826,0
Algeria,DZA,1827,0
Algeria,DZA,1828,0
Algeria,DZA,1829,0
Algeria,DZA,1830,0
Algeria,DZA,1831,0
Algeria,DZA,1832,0
Algeria,DZA,1833,0
Algeria,DZA,1834,0
Algeria,DZA,1835,0
Algeria,DZA,1836,0
Algeria,DZA,1837,0
Algeria,DZA,1838,0
Algeria,DZA,1839,0
Algeria,DZA,1840,0
Algeria,DZA,1841,0
Algeria,DZA,1842,0
Algeria,DZA,1843,0
Algeria,DZA,1844,0
Algeria,DZA,1845,0
Algeria,DZA,1846,0
Algeria,DZA,1847,0
Algeria,DZA,1848,0
Algeria,DZA,1849,0
Algeria,DZA,1850,0
Algeria,DZA,1851,0
Algeria,DZA,1852,0
Algeria,DZA,1853,0
Algeria,DZA,1854,0
Algeria,DZA,1855,0
Algeria,DZA,1856,0
Algeria,DZA,1857,0
Algeria,DZA,1858,0
Algeria,DZA,1859,0
Algeria,DZA,1860,0
Algeria,DZA,1861,0
Algeria,DZA,1862,0
Algeria,DZA,1863,0
Algeria,DZA,1864,0
Algeria,DZA,1865,0
Algeria,DZA,1866,0
Algeria,DZA,1867,0
Algeria,DZA,1868,0
Algeria,DZA,1869,0
Algeria,DZA,1870,0
Algeria,DZA,1871,0
Algeria,DZA,1872,0
Algeria,DZA,1873,0
Algeria,DZA,1874,0
Algeria,DZA,1875,0
Algeria,DZA,1876,0
Algeria,DZA,1877,0
Algeria,DZA,1878,0
Algeria,DZA,1879,0
Algeria,DZA,1880,0
Algeria,DZA,1881,0
Algeria,DZA,1882,0
Algeria,DZA,1883,0
Algeria,DZA,1884,0
Algeria,DZA,1885,0
Algeria,DZA,1886,0
Algeria,DZA,1887,0
Algeria,DZA,1888,0
Algeria,DZA,1889,0
Algeria,DZA,1890,0
Algeria,DZA,1891,0
Algeria,DZA,1892,0
Algeria,DZA,1893,0
Algeria,DZA,1894,0
Algeria,DZA,1895,0
Algeria,DZA,1896,0
Algeria,DZA,1897,0
Algeria,DZA,1898,0
Algeria,DZA,1899,0
Algeria,DZA,1900,0
Algeria,DZA,1901,0
Algeria,DZA,1902,0
Algeria,DZA,1903,0
Algeria,DZA,1904,0
Algeria,DZA,1905,0
Algeria,DZA,1906,0
Algeria,DZA,1907,0
Algeria,DZA,1908,0
Algeria,DZA,1909,0
Algeria,DZA,1910,0
Algeria,DZA,1911,0
Algeria,DZA,1912,0
Algeria,DZA,1913,0
Algeria,DZA,1914,0
Algeria,DZA,1915,0
Algeria,DZA,1916,0.00063547
Algeria,DZA,1917,0.001254873
Algeria,DZA,1918,0.003098141
Algeria,DZA,1919,0.003059433
Algeria,DZA,1920,0.003625449
Algeria,DZA,1921,0.004176845
Algeria,DZA,1922,0.004124659
Algeria,DZA,1923,0.0023275
Algeria,DZA,1924,0.00459684
Algeria,DZA,1925,0.005106832
Algeria,DZA,1926,0.0061637
Algeria,DZA,1927,0.008853368
Algeria,DZA,1928,0.01092844
Algeria,DZA,1929,0.01187109
Algeria,DZA,1930,0.012255624
Algeria,DZA,1931,0.014207286
Algeria,DZA,1932,0.016108263
Algeria,DZA,1933,0.016933263
Algeria,DZA,1934,0.019255288
Algeria,DZA,1935,0.018013936
Algeria,DZA,1936,0.006917893
Algeria,DZA,1937,0.009271267
Algeria,DZA,1938,0.004336784
Algeria,DZA,1939,0.020937151
Algeria,DZA,1940,0.030543444
Algeria,DZA,1941,0.039442391
Algeria,DZA,1942,0.062319354
Algeria,DZA,1943,0.057920684
Algeria,DZA,1944,0.060771834
Algeria,DZA,1945,0.07413314
Algeria,DZA,1946,0.090637133
Algeria,DZA,1947,0.087353152
Algeria,DZA,1948,0.093060713
Algeria,DZA,1949,0.104067138
Algeria,DZA,1950,0.426601288
Algeria,DZA,1951,0.457193932
Algeria,DZA,1952,0.422200563
Algeria,DZA,1953,0.425401334
Algeria,DZA,1954,0.432381897
Algeria,DZA,1955,0.468915948
Algeria,DZA,1956,0.496501528
Algeria,DZA,1957,0.537011762
Algeria,DZA,1958,0.493223156
Algeria,DZA,1959,0.521433405
Algeria,DZA,1960,0.552926098
Algeria,DZA,1961,0.530994507
Algeria,DZA,1962,0.484254381
Algeria,DZA,1963,0.452156245
Algeria,DZA,1964,0.458934464
Algeria,DZA,1965,0.521783459
Algeria,DZA,1966,0.648743325
Algeria,DZA,1967,0.631380991
Algeria,DZA,1968,0.658467891
Algeria,DZA,1969,0.796282373
Algeria,DZA,1970,1.034977636
Algeria,DZA,1971,1.246617335
Algeria,DZA,1972,1.84187218
Algeria,DZA,1973,2.421941555
Algeria,DZA,1974,1.961989208
Algeria,DZA,1975,1.915196424
Algeria,DZA,1976,2.276354025
Algeria,DZA,1977,2.365431198
Algeria,DZA,1978,3.429285555
Algeria,DZA,1979,2.427702774
Algeria,DZA,1980,3.434556122
Algeria,DZA,1981,2.323644579
Algeria,DZA,1982,1.903849071
Algeria,DZA,1983,2.473299406
Algeria,DZA,1984,3.240477143
