"REF_DATE","GEO","DGUID","Knowledge of official languages","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1951","Canada","2016A000011124","Total, knowledge of official languages","Number","Number","223","units","0","v1043024500","1.1.1","14009429","","","","0"
"1951","Canada","2016A000011124","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024501","1.1.2","100.0","","","","1"
"1951","Canada","2016A000011124","French only","Number","Number","223","units","0","v1043024502","1.2.1","2741812","","","","0"
"1951","Canada","2016A000011124","French only","Percentage","Percentage","242","units","0","v1043024503","1.2.2","19.6","","","","1"
"1951","Canada","2016A000011124","English only","Number","Number","223","units","0","v1043024504","1.3.1","9387395","","","","0"
"1951","Canada","2016A000011124","English only","Percentage","Percentage","242","units","0","v1043024505","1.3.2","67.0","","","","1"
"1951","Canada","2016A000011124","English and French","Number","Number","223","units","0","v1043024506","1.4.1","1727447","","","","0"
"1951","Canada","2016A000011124","English and French","Percentage","Percentage","242","units","0","v1043024507","1.4.2","12.3","","","","1"
"1951","Canada","2016A000011124","Neither English nor French","Number","Number","223","units","0","v1043024508","1.5.1","152775","","","","0"
"1951","Canada","2016A000011124","Neither English nor French","Percentage","Percentage","242","units","0","v1043024509","1.5.2","1.1","","","","1"
"1951","Newfoundland and Labrador","2016A000210","Total, knowledge of official languages","Number","Number","223","units","0","v1043024510","2.1.1","361416","","","","0"
"1951","Newfoundland and Labrador","2016A000210","Total, knowledge of official languages","Percentage","Percentage","242","units","0","v1043024511","2.1.2","100.0","","","","1"
"1951","Newfoundland and Labrador","2016A000210","French only","Number","Number","223","units","0","v1043024512","2.2.1","153","","","","0"
"1951","Newfoundland and Labrador","2016A000210","French only","Percentage","Percentage","242","units","0","v1043024513","2.2.2","0.0","","","","1"
"1951","Newfoundland and Labrador","2016A000210","English only","Number","Number","223","units","0","v1043024514","2.3.1","356377","","","","0"
"1951","Newfoundland and Labrador","2016A000210","English only","Percentage","Percentage","242","units","0","v1043024515","2.3.2","98.6","","","","1"
"1951","Newfoundland and Labrador","2016A000210","English and French","Number","Number","223","units","0","v1043024516","2.4.1","3990","","","","0"
"1951","Newfoundland and Labrador","2016A000210","English and French","Percentage","Percentage","242","units","0","v1043024517","2.4.2","1.1","","","","1"
"1951","Newfoundland and Labrador","2016A000210","Neither English nor French","Number","Number","223","units","0","v1043024518","2.5.1","896","","","","0"
