champ,description_question,variable_reponse,description_reponse,,,,,,
record,identifiant unique du répondant,,identifiant unique du répondant,,,,,,
date,date,,date,,,,,,
sexe,sexe: Vous identifiez-vous comme:,1,Un homme,,,,,,
sexe,sexe: Vous identifiez-vous comme:,2,Une femme,,,,,,
sexe,sexe: Vous identifiez-vous comme:,6,Autre,,,,,,
age,age: Quel âge avez-vous?,0,Moins de 18 ans,,,,,,
age,age: Quel âge avez-vous?,1,De 18 à 24 ans,,,,,,
age,age: Quel âge avez-vous?,2,De 25 à 34 ans,,,,,,
age,age: Quel âge avez-vous?,3,De 35 à 44 ans,,,,,,
age,age: Quel âge avez-vous?,4,De 45 à 54 ans,,,,,,
age,age: Quel âge avez-vous?,5,De 55 à 64 ans,,,,,,
age,age: Quel âge avez-vous?,6,De 65 à 74 ans,,,,,,
age,age: Quel âge avez-vous?,7,75 ans ou plus,,,,,,
age,age: Quel âge avez-vous?,9,Je préfère ne pas répondre,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,1,Ahuntsic-Cartierville,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,2,Anjou,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,3,Côte-des-Neiges - Notre-Dame-de-Grâce,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,4,Lachine,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,5,LaSalle,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,6,Le Plateau-Mont-Royal,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,7,Le Sud-Ouest,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,8,L’Île-Bizard - Sainte-Geneviève,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,9,Mercier - Hochelaga-Maisonneuve,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,10,Montréal-Nord,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,11,Outremont,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,12,Pierrefonds-Roxboro,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,13,Rivière-des-Prairies - Pointe-aux-Trembles,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,14,Rosemont - La Petite-Patrie,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,15,Saint-Laurent,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,16,Saint-Léonard,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,17,Verdun,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,18,Ville-Marie,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,19,Villeray - Saint-Michel - Parc-Extension,,,,,,
ARRON,ARRON: Dans quel arrondissement de Montréal habitez-vous?,97,Je n'habite pas la ville de Montréal,,,,,,
NAISS,NAISSANCE: Êtes-vous né au Canada?,1,Oui,,,,,,
NAISS,NAISSANCE: Êtes-vous né au Canada?,2,Non,,,,,,
NAISSANCE2,NAISSANCE2: Quel est votre pays de naissance?,,,,,,,,
NAIS2r9,noanswerNAISSANCE2_r99: Quel est votre pays de naissance?: Je préfère ne pas répondre - No Answer,0,NO TO: Quel est votre pays de naissance?: Je préfère ne pas répondre,,,,,,
NAIS2r9,noanswerNAISSANCE2_r99: Quel est votre pays de naissance?: Je préfère ne pas répondre - No Answer,1,Quel est votre pays de naissance?: Je préfère ne pas répondre,,,,,,
LANGU,LANGU: Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,1,Français,,,,,,
LANGU,LANGU: Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,2,Anglais,,,,,,
LANGU,LANGU: Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,96,Autre (Veuillez préciser),,,,,,
LANGU,LANGU: Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours?,99,Je préfère ne pas répondre,,,,,,
LANGUr96oe,LANGUr96oe: Quelle est la langue que vous avez apprise en premier lieu à la maison dans votre enfance et que vous comprenez toujours? - Autre (Veuillez préciser),,,,,,,,
LGBTQ,LGBTQ: Vous identifiez-vous comme étant une personne LGBTQI+?,1,Oui,,,,,,
LGBTQ,LGBTQ: Vous identifiez-vous comme étant une personne LGBTQI+?,2,Non,,,,,,
LGBTQ,LGBTQ: Vous identifiez-vous comme étant une personne LGBTQI+?,8,Je ne sais pas,,,,,,
LGBTQ,LGBTQ: Vous identifiez-vous comme étant une personne LGBTQI+?,9,Je préfère ne pas répondre,,,,,,
MINO,MINO: Considérez-vous appartenir à une minorité visible?,1,Oui,,,,,,
MINO,MINO: Considérez-vous appartenir à une minorité visible?,2,Non,,,,,,
MINO,MINO: Considérez-vous appartenir à une minorité visible?,9,Je préfère ne pas répondre,,,,,,
MINO2,MINO2: Considérez-vous appartenir à une minorité ethnique?,1,Oui,,,,,,
MINO2,MINO2: Considérez-vous appartenir à une minorité ethnique?,2,Non,,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,1,Primaire (7 ans ou moins),,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,2,Secondaire (formation générale ou professionnelle (8 à 12 ans)),,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,3,"Collégial (formation pré-universitaire, formation technique, certificats, attestations ou diplômes de perfectionnement)",,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,4,Universitaire - certificats et diplômes,,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,5,Universitaire - 1er cycle Baccalauréat (incluant cours classique),,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,6,Universitaire - 2e cycle Maîtrise,,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,7,Universitaire - 3e cycle Doctorat,,,,,,
SCOL,SCOL: À quel niveau se situe la dernière année de scolarité que vous avez terminée?,9,Je préfère ne pas répondre,,,,,,
SCOL2,"SCOL2: Dans quel pays avez-vous obtenu votre certificat, diplôme ou grade le plus élevé?",1,Au Canada (Précisez la province ou le territoire),,,,,,
SCOL2,"SCOL2: Dans quel pays avez-vous obtenu votre certificat, diplôme ou grade le plus élevé?",2,À l’extérieur du Canada (Précisez le pays),,,,,,
SCOL3,SCOL3: Avez-vous entrepris d’autres études au Canada depuis votre arrivée?,1,Oui,,,,,,
SCOL3,SCOL3: Avez-vous entrepris d’autres études au Canada depuis votre arrivée?,2,Non,,,,,,
SCOL3,SCOL3: Avez-vous entrepris d’autres études au Canada depuis votre arrivée?,8,Je ne sais pas,,,,,,
SCOL3,SCOL3: Avez-vous entrepris d’autres études au Canada depuis votre arrivée?,9,Je préfère ne pas répondre,,,,,,
SCOL2r1oe,"SCOL2r1oe: Au Canada (Précisez la province ou le territoire) - Dans quel pays avez-vous obtenu votre certificat, diplôme ou grade le plus élevé?",,,,,,,,
SCOL2r2oe,"SCOL2r2oe: À l’extérieur du Canada (Précisez le pays) - Dans quel pays avez-vous obtenu votre certificat, diplôme ou grade le plus élevé?",,,,,,,,
Q1,Q1: Avez-vous une limitation fonctionnelle dans la réalisation d’activités courantes ? (Déficience motrice,Déficience auditive,Trouble de langage-parole,Trouble de santé mentale,Déficience visuelle,Déficience intellectuelle,Troubles du spectre de l’autisme),1,Oui
Q1,Q1: Avez-vous une limitation fonctionnelle dans la réalisation d’activités courantes ? (Déficience motrice,Déficience auditive,Trouble de langage-parole,Trouble de santé mentale,Déficience visuelle,Déficience intellectuelle,Troubles du spectre de l’autisme),2,Non
Q1,Q1: Avez-vous une limitation fonctionnelle dans la réalisation d’activités courantes ? (Déficience motrice,Déficience auditive,Trouble de langage-parole,Trouble de santé mentale,Déficience visuelle,Déficience intellectuelle,Troubles du spectre de l’autisme),8,Je ne sais pas
Q1,Q1: Avez-vous une limitation fonctionnelle dans la réalisation d’activités courantes ? (Déficience motrice,Déficience auditive,Trouble de langage-parole,Trouble de santé mentale,Déficience visuelle,Déficience intellectuelle,Troubles du spectre de l’autisme),9,Je préfère ne pas répondre
