PÉRIODE DE RÉFÉRENCE,GÉO,DGUID,Langue maternelle,Statistiques,Réponses multiples,UNITÉ DE MESURE,IDENTIFICATEUR D'UNITÉ DE MESURE,FACTEUR SCALAIRE,IDENTIFICATEUR SCALAIRE,VECTEUR,COORDONNÉES,VALEUR,STATUS,SYMBOLE,TERMINÉ,DÉCIMALES
1951,Canada,2016A000011124,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943326,1.1.1.2,14009429,,,,0
1951,Canada,2016A000011124,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943328,1.1.2.2,100,,,,1
1951,Canada,2016A000011124,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943330,1.2.1.2,4068850,,,,0
1951,Canada,2016A000011124,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943332,1.2.2.2,29,,,,1
1951,Canada,2016A000011124,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943334,1.3.1.2,8280809,,,,0
1951,Canada,2016A000011124,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943336,1.3.2.2,59.1,,,,1
1951,Canada,2016A000011124,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943338,1.4.1.2,1659770,,,,0
1951,Canada,2016A000011124,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943340,1.4.2.2,11.8,,,,1
1951,Terre-Neuve-et-Labrador,2016A000210,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943350,2.1.1.2,361416,,,,0
1951,Terre-Neuve-et-Labrador,2016A000210,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943352,2.1.2.2,100,,,,1
1951,Terre-Neuve-et-Labrador,2016A000210,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943354,2.2.1.2,2321,,,,0
1951,Terre-Neuve-et-Labrador,2016A000210,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943356,2.2.2.2,0.6,,,,1
1951,Terre-Neuve-et-Labrador,2016A000210,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943358,2.3.1.2,357328,,,,0
1951,Terre-Neuve-et-Labrador,2016A000210,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943360,2.3.2.2,98.9,,,,1
1951,Terre-Neuve-et-Labrador,2016A000210,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943362,2.4.1.2,1767,,,,0
1951,Terre-Neuve-et-Labrador,2016A000210,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943364,2.4.2.2,0.5,,,,1
1951,Île-du-Prince-Édouard,2016A000211,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943374,3.1.1.2,98429,,,,0
1951,Île-du-Prince-Édouard,2016A000211,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943376,3.1.2.2,100,,,,1
1951,Île-du-Prince-Édouard,2016A000211,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943378,3.2.1.2,8477,,,,0
1951,Île-du-Prince-Édouard,2016A000211,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943380,3.2.2.2,8.6,,,,1
1951,Île-du-Prince-Édouard,2016A000211,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943382,3.3.1.2,89241,,,,0
1951,Île-du-Prince-Édouard,2016A000211,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943384,3.3.2.2,90.7,,,,1
1951,Île-du-Prince-Édouard,2016A000211,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943386,3.4.1.2,711,,,,0
1951,Île-du-Prince-Édouard,2016A000211,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943388,3.4.2.2,0.7,,,,1
1951,Nouvelle-Écosse,2016A000212,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943398,4.1.1.2,642584,,,,0
1951,Nouvelle-Écosse,2016A000212,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943400,4.1.2.2,100,,,,1
1951,Nouvelle-Écosse,2016A000212,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943402,4.2.1.2,38945,,,,0
1951,Nouvelle-Écosse,2016A000212,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943404,4.2.2.2,6.1,,,,1
1951,Nouvelle-Écosse,2016A000212,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943406,4.3.1.2,588610,,,,0
1951,Nouvelle-Écosse,2016A000212,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943408,4.3.2.2,91.6,,,,1
1951,Nouvelle-Écosse,2016A000212,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943410,4.4.1.2,15029,,,,0
1951,Nouvelle-Écosse,2016A000212,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943412,4.4.2.2,2.3,,,,1
1951,Nouveau-Brunswick,2016A000213,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943422,5.1.1.2,515697,,,,0
1951,Nouveau-Brunswick,2016A000213,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943424,5.1.2.2,100,,,,1
1951,Nouveau-Brunswick,2016A000213,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943426,5.2.1.2,185110,,,,0
1951,Nouveau-Brunswick,2016A000213,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943428,5.2.2.2,35.9,,,,1
1951,Nouveau-Brunswick,2016A000213,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943430,5.3.1.2,325412,,,,0
1951,Nouveau-Brunswick,2016A000213,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943432,5.3.2.2,63.1,,,,1
1951,Nouveau-Brunswick,2016A000213,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943434,5.4.1.2,5175,,,,0
1951,Nouveau-Brunswick,2016A000213,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943436,5.4.2.2,1,,,,1
1951,Québec,2016A000224,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943446,6.1.1.2,4055681,,,,0
1951,Québec,2016A000224,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943448,6.1.2.2,100,,,,1
1951,Québec,2016A000224,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943450,6.2.1.2,3347030,,,,0
1951,Québec,2016A000224,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943452,6.2.2.2,82.5,,,,1
1951,Québec,2016A000224,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943454,6.3.1.2,558256,,,,0
1951,Québec,2016A000224,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943456,6.3.2.2,13.8,,,,1
1951,Québec,2016A000224,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943458,6.4.1.2,150395,,,,0
1951,Québec,2016A000224,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943460,6.4.2.2,3.7,,,,1
1951,Ontario,2016A000235,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943470,7.1.1.2,4597542,,,,0
1951,Ontario,2016A000235,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943472,7.1.2.2,100,,,,1
1951,Ontario,2016A000235,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943474,7.2.1.2,341502,,,,0
1951,Ontario,2016A000235,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943476,7.2.2.2,7.4,,,,1
1951,Ontario,2016A000235,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943478,7.3.1.2,3755442,,,,0
1951,Ontario,2016A000235,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943480,7.3.2.2,81.7,,,,1
1951,Ontario,2016A000235,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943482,7.4.1.2,500598,,,,0
1951,Ontario,2016A000235,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943484,7.4.2.2,10.9,,,,1
1951,Manitoba,2016A000246,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943494,8.1.1.2,776541,,,,0
1951,Manitoba,2016A000246,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943496,8.1.2.2,100,,,,1
1951,Manitoba,2016A000246,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943498,8.2.1.2,54199,,,,0
1951,Manitoba,2016A000246,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943500,8.2.2.2,7,,,,1
1951,Manitoba,2016A000246,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943502,8.3.1.2,467892,,,,0
1951,Manitoba,2016A000246,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943504,8.3.2.2,60.3,,,,1
1951,Manitoba,2016A000246,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943506,8.4.1.2,254450,,,,0
1951,Manitoba,2016A000246,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943508,8.4.2.2,32.8,,,,1
1951,Saskatchewan,2016A000247,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943518,9.1.1.2,831728,,,,0
1951,Saskatchewan,2016A000247,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943520,9.1.2.2,100,,,,1
1951,Saskatchewan,2016A000247,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943522,9.2.1.2,36815,,,,0
1951,Saskatchewan,2016A000247,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943524,9.2.2.2,4.4,,,,1
1951,Saskatchewan,2016A000247,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943526,9.3.1.2,515873,,,,0
1951,Saskatchewan,2016A000247,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943528,9.3.2.2,62,,,,1
1951,Saskatchewan,2016A000247,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943530,9.4.1.2,279040,,,,0
1951,Saskatchewan,2016A000247,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943532,9.4.2.2,33.5,,,,1
1951,Alberta,2016A000248,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943542,10.1.1.2,939501,,,,0
1951,Alberta,2016A000248,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943544,10.1.2.2,100,,,,1
1951,Alberta,2016A000248,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943546,10.2.1.2,34196,,,,0
1951,Alberta,2016A000248,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943548,10.2.2.2,3.6,,,,1
1951,Alberta,2016A000248,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943550,10.3.1.2,648413,,,,0
1951,Alberta,2016A000248,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943552,10.3.2.2,69,,,,1
1951,Alberta,2016A000248,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943554,10.4.1.2,256892,,,,0
1951,Alberta,2016A000248,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943556,10.4.2.2,27.3,,,,1
1951,Colombie-Britannique,2016A000259,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943566,11.1.1.2,1165210,,,,0
1951,Colombie-Britannique,2016A000259,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943568,11.1.2.2,100,,,,1
1951,Colombie-Britannique,2016A000259,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943570,11.2.1.2,19366,,,,0
1951,Colombie-Britannique,2016A000259,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943572,11.2.2.2,1.7,,,,1
1951,Colombie-Britannique,2016A000259,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943574,11.3.1.2,963920,,,,0
1951,Colombie-Britannique,2016A000259,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943576,11.3.2.2,82.7,,,,1
1951,Colombie-Britannique,2016A000259,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943578,11.4.1.2,181924,,,,0
1951,Colombie-Britannique,2016A000259,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943580,11.4.2.2,15.6,,,,1
1951,Yukon,2016A000260,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943590,12.1.1.2,9096,,,,0
1951,Yukon,2016A000260,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943592,12.1.2.2,100,,,,1
1951,Yukon,2016A000260,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943594,12.2.1.2,308,,,,0
1951,Yukon,2016A000260,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943596,12.2.2.2,3.4,,,,1
1951,Yukon,2016A000260,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943598,12.3.1.2,6618,,,,0
1951,Yukon,2016A000260,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943600,12.3.2.2,72.8,,,,1
1951,Yukon,2016A000260,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943602,12.4.1.2,2170,,,,0
1951,Yukon,2016A000260,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943604,12.4.2.2,23.9,,,,1
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943614,13.1.1.2,16004,,,t,0
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943616,13.1.2.2,100,,,t,1
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943618,13.2.1.2,581,,,t,0
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943620,13.2.2.2,3.6,,,t,1
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943622,13.3.1.2,3804,,,t,0
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943624,13.3.2.2,23.8,,,t,1
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943626,13.4.1.2,11619,,,t,0
1951,Territoires du Nord-Ouest incluant Nunavut,2016A000261,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943628,13.4.2.2,72.6,,,t,1
1951,Canada hors Québec,,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943686,16.1.1.2,9953748,,,,0
1951,Canada hors Québec,,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943688,16.1.2.2,100,,,,1
1951,Canada hors Québec,,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943690,16.2.1.2,721820,,,,0
1951,Canada hors Québec,,Français,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943692,16.2.2.2,7.3,,,,1
1951,Canada hors Québec,,Anglais,Nombre,Réparties,Nombre,223,unités,0,v1563943694,16.3.1.2,7722553,,,,0
1951,Canada hors Québec,,Anglais,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943696,16.3.2.2,77.6,,,,1
1951,Canada hors Québec,,Langue non officielle,Nombre,Réparties,Nombre,223,unités,0,v1563943698,16.4.1.2,1509375,,,,0
1951,Canada hors Québec,,Langue non officielle,Pourcentage,Réparties,Pourcent,239,unités,0,v1563943700,16.4.2.2,15.2,,,,1
1961,Canada,2016A000011124,"Total, langue maternelle",Nombre,Réparties,Nombre,223,unités,0,v1563943326,1.1.1.2,18238247,,,,0
1961,Canada,2016A000011124,"Total, langue maternelle",Pourcentage,Réparties,Pourcent,239,unités,0,v1563943328,1.1.2.2,100,,,,1
1961,Canada,2016A000011124,Français,Nombre,Réparties,Nombre,223,unités,0,v1563943330,1.2.1.2,5123151,,,,0
