,record,sexe,age,NAISS,LANGUE,MINO,Q2r1,Q2r2,Q2r3,Q2r4,Q2r5,Q2r6,Q2r7,Q2r8,Q42,Q46,Q47,Q47B,Q52r1,Q52r2,Q52r3,Q52r4,Q52r5,Q52r6,Q52r7,Q52r8,Q52r9
0,3,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,3,2,3,3,5,4,5,4,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui
1,4,Un homme,De 55 à 64 ans,Non,Anglais,Non,5,5,4,3,5,5,5,5,5,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
2,5,Un homme,De 55 à 64 ans,Oui,Français,Non,5,5,5,5,3,2,3,2,5,5,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
3,6,Un homme,De 18 à 24 ans,Oui,Français,Non,5,5,5,5,4,3,4,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
4,7,Un homme,De 35 à 44 ans,Oui,Anglais,Non,4,4,4,3,5,5,5,5,4,2,4,2,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui
5,8,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
6,17,Un homme,De 35 à 44 ans,Oui,Cantonais,Oui,4,4,5,4,5,5,5,5,5,5,2,1,Non,Non,Non,Non,Non,Non,Non,Non,Non
7,18,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,4,4,4,4,3,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
8,19,Une femme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,5,4,5,4,4,4,4,3,Non,Oui,Non,Non,Non,Non,Non,Non,Non
9,20,Un homme,De 25 à 34 ans,Non,Français,Non,5,5,5,5,2,1,3,2,5,1,4,2,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui
10,21,Un homme,De 35 à 44 ans,Oui,Français,Non,5,5,5,5,4,4,4,3,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
11,22,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,4,5,5,4,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
12,23,Un homme,De 25 à 34 ans,Oui,Français,Non,5,4,5,4,4,3,4,3,4,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
13,24,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,3,3,2,5,5,4,3,Je ne sais pas,Non,Non,Non,Non,Non,Non,Non,Non
14,25,Un homme,De 65 à 74 ans,Oui,Français,Non,5,5,5,5,2,1,2,2,4,4,5,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
15,26,Un homme,De 45 à 54 ans,Oui,Français,Non,5,5,5,5,5,5,5,5,5,5,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
16,27,Une femme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,4,4,4,4,4,4,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
17,29,Un homme,De 18 à 24 ans,Oui,Français,Non,5,5,5,4,3,4,4,3,5,5,5,2,Non,Non,Non,Non,Non,Non,Non,Non,Non
18,30,Un homme,De 18 à 24 ans,Oui,Français,Oui,5,4,5,4,5,4,4,4,4,1,4,1,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non
19,31,Un homme,De 35 à 44 ans,Non,Arabe,Non,4,3,4,4,3,3,4,3,5,5,4,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
20,32,Un homme,De 55 à 64 ans,Non,Italien,Non,4,4,4,4,5,5,5,5,5,5,4,4,Non,Non,Non,Non,Non,Non,Non,Non,Non
21,33,Une femme,De 18 à 24 ans,Oui,Polonais,Non,3,5,3,3,5,5,5,5,5,2,3,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
22,34,Un homme,De 25 à 34 ans,Oui,Français,Non,5,5,5,5,5,3,5,4,5,2,5,3,Non,Non,Non,Non,Non,Non,Non,Non,Non
23,35,Une femme,De 18 à 24 ans,Oui,Anglais,Non,3,3,3,3,5,5,5,5,5,5,5,1,Non,Non,Non,Non,Non,Non,Non,Non,Oui
