,NIVEAU_GÉO,GÉO,QUESTION,LANGUE,CHIFFRE_TOTAL
395,Pays,Canada,Langue maternelle,Anglais,20107200
396,Pays,Canada,Langue maternelle,Français,7189245
400,Pays,Canada,Langue maternelle,Pied-noir,2520
402,Pays,Canada,Langue maternelle,Atikamekw,5500
404,Pays,Canada,Langue maternelle,Ililimowin (cri de Moose),155
405,Pays,Canada,Langue maternelle,Inu Ayimun (cri du Sud-Est),580
406,Pays,Canada,Langue maternelle,Iyiyiw-Ayimiwin (cri du Nord-Est),3460
407,Pays,Canada,Langue maternelle,Nehinawewin (cri des marais),2475
408,Pays,Canada,Langue maternelle,Nehiyawewin (cri des plaines),5025
409,Pays,Canada,Langue maternelle,Nihithawiwin (cri des bois),2850
410,Pays,Canada,Langue maternelle,"Cri, n.d.a.",38535
411,Pays,Canada,Langue maternelle,Innu (montagnais),8465
412,Pays,Canada,Langue maternelle,Naskapi,625
414,Pays,Canada,Langue maternelle,Mi'kmaq,4910
415,Pays,Canada,Langue maternelle,Wolastoqewi (malécite),245
417,Pays,Canada,Langue maternelle,Anicinabemowin (algonquin),865
418,Pays,Canada,Langue maternelle,Oji-cri,9310
420,Pays,Canada,Langue maternelle,Anishinaabemowin (chippewa),470
421,Pays,Canada,Langue maternelle,Daawaamwin (odawa),65
422,Pays,Canada,Langue maternelle,Saulteaux (ojibwé occidental),1880
423,Pays,Canada,Langue maternelle,"Ojibwé, n.d.a.",9185
424,Pays,Canada,Langue maternelle,"Langues algonquiennes, n.i.a.",10
427,Pays,Canada,Langue maternelle,Dakelh (porteur),625
428,Pays,Canada,Langue maternelle,Dane-zaa (castor),120
429,Pays,Canada,Langue maternelle,"Déné, n.d.a.",8060
430,Pays,Canada,Langue maternelle,Gwich'in,175
432,Pays,Canada,Langue maternelle,Deh Gah Ghotie Zhatie (esclave du Sud),400
433,Pays,Canada,Langue maternelle,Satuotine Yati (esclave du Nord),270
434,Pays,Canada,Langue maternelle,"Esclave, n.d.a.",840
436,Pays,Canada,Langue maternelle,Kaska (nahani),65
437,Pays,Canada,Langue maternelle,Tahltan,80
438,Pays,Canada,Langue maternelle,Tlicho (flanc-de-chien),1390
439,Pays,Canada,Langue maternelle,Tse'khene (sekani),35
440,Pays,Canada,Langue maternelle,Tsilhqot'in (chilcotin),465
441,Pays,Canada,Langue maternelle,Tsuu T'ina (sarsi),25
443,Pays,Canada,Langue maternelle,Tutchone du Nord,70
444,Pays,Canada,Langue maternelle,Tutchone du Sud,25
445,Pays,Canada,Langue maternelle,"Tutchone, n.d.a.",25
446,Pays,Canada,Langue maternelle,Wetsuwet'en-babine,120
447,Pays,Canada,Langue maternelle,Tlingit,50
448,Pays,Canada,Langue maternelle,"Langues athabascanes, n.i.a.",45
449,Pays,Canada,Langue maternelle,Haïda,45
452,Pays,Canada,Langue maternelle,Inuinnaqtun,335
453,Pays,Canada,Langue maternelle,Inuvialuktun,225
454,Pays,Canada,Langue maternelle,Inuktitut,33200
455,Pays,Canada,Langue maternelle,"Langues inuktutes (inuites), n.i.a.",30
457,Pays,Canada,Langue maternelle,Cayuga,35
458,Pays,Canada,Langue maternelle,Mohawk,275
459,Pays,Canada,Langue maternelle,Oneida,45
460,Pays,Canada,Langue maternelle,"Langues iroquoiennes, n.i.a.",10
461,Pays,Canada,Langue maternelle,Ktunaxa (kutenai),30
462,Pays,Canada,Langue maternelle,Michif,485
464,Pays,Canada,Langue maternelle,Halkomelem,185
465,Pays,Canada,Langue maternelle,Lillooet,100
466,Pays,Canada,Langue maternelle,Ntlakapamux (thompson),180
467,Pays,Canada,Langue maternelle,Secwepemctsin (shuswap),265
468,Pays,Canada,Langue maternelle,Squamish,25
469,Pays,Canada,Langue maternelle,Straits,95
470,Pays,Canada,Langue maternelle,Syilx (okanagan),185
471,Pays,Canada,Langue maternelle,"Langues salishennes, n.i.a.",55
473,Pays,Canada,Langue maternelle,Assiniboine,70
474,Pays,Canada,Langue maternelle,Dakota,560
475,Pays,Canada,Langue maternelle,Stoney,365
476,Pays,Canada,Langue maternelle,"Langues siouennes, n.i.a.",45
478,Pays,Canada,Langue maternelle,Gitxsan (gitksan),590
479,Pays,Canada,Langue maternelle,Nisga'a,325
480,Pays,Canada,Langue maternelle,Tsimshian,120
482,Pays,Canada,Langue maternelle,Haisla,85
483,Pays,Canada,Langue maternelle,Heiltsuk,300
484,Pays,Canada,Langue maternelle,Kwak'wala (kwakiutl),150
485,Pays,Canada,Langue maternelle,Nuu-chah-nulth (nootka),220
486,Pays,Canada,Langue maternelle,"Langues wakashanes, n.i.a.",20
487,Pays,Canada,Langue maternelle,"Langues autochtones, n.i.a.",60
488,Pays,Canada,Langue maternelle,"Langues autochtones, n.d.a.",180
492,Pays,Canada,Langue maternelle,Kabyle,24760
493,Pays,Canada,Langue maternelle,Tamazight,2340
494,Pays,Canada,Langue maternelle,"Langues berbères, n.i.a.",395
496,Pays,Canada,Langue maternelle,Haoussa,1315
497,Pays,Canada,Langue maternelle,Mina,675
498,Pays,Canada,Langue maternelle,Copte,1015
500,Pays,Canada,Langue maternelle,Bilen,2020
501,Pays,Canada,Langue maternelle,Oromo,5905
502,Pays,Canada,Langue maternelle,Somali,40730
503,Pays,Canada,Langue maternelle,"Langues couchitiques, n.i.a.",755
505,Pays,Canada,Langue maternelle,Amharique,25685
506,Pays,Canada,Langue maternelle,Arabe,508410
508,Pays,Canada,Langue maternelle,Assyrien néo-araméen,17220
509,Pays,Canada,Langue maternelle,Chaldéen néo-araméen,8860
510,Pays,Canada,Langue maternelle,"Araméen, n.d.a.",1600
511,Pays,Canada,Langue maternelle,Harari,1220
512,Pays,Canada,Langue maternelle,Hébreu,19495
513,Pays,Canada,Langue maternelle,Maltais,4425
514,Pays,Canada,Langue maternelle,Tigrigna,31075
515,Pays,Canada,Langue maternelle,"Langues sémitiques, n.i.a.",450
517,Pays,Canada,Langue maternelle,Khmer (cambodgien),19525
518,Pays,Canada,Langue maternelle,Vietnamien,173000
519,Pays,Canada,Langue maternelle,"Langues austro-asiatiques, n.i.a.",460
521,Pays,Canada,Langue maternelle,Bicol,2115
522,Pays,Canada,Langue maternelle,"Bisaya, n.d.a.",8215
523,Pays,Canada,Langue maternelle,Cebuano,18945
524,Pays,Canada,Langue maternelle,Fidjien,605
525,Pays,Canada,Langue maternelle,Hiligaïnon,9690
526,Pays,Canada,Langue maternelle,Ilocano,33520
527,Pays,Canada,Langue maternelle,Indonésien,11910
528,Pays,Canada,Langue maternelle,Kankanaey,1100
529,Pays,Canada,Langue maternelle,Kinaray-a,670
531,Pays,Canada,Langue maternelle,Merina,1245
532,Pays,Canada,Langue maternelle,"Malgache, n.d.a.",835
533,Pays,Canada,Langue maternelle,Malais,1330
534,Pays,Canada,Langue maternelle,"Pampangan (kapampangan, pampango)",5615
535,Pays,Canada,Langue maternelle,Pangasinan,2050
536,Pays,Canada,Langue maternelle,"Tagalog (pilipino, filipino)",461150
537,Pays,Canada,Langue maternelle,Waray-waray,1625
538,Pays,Canada,Langue maternelle,"Langues austronésiennes, n.i.a.",4740
540,Pays,Canada,Langue maternelle,Créole haïtien,52435
541,Pays,Canada,Langue maternelle,Créole jamaïcain anglais,600
542,Pays,Canada,Langue maternelle,Krio,795
543,Pays,Canada,Langue maternelle,Mauricien,6125
544,Pays,Canada,Langue maternelle,Sango,580
545,Pays,Canada,Langue maternelle,"Créole, n.d.a.",15550
546,Pays,Canada,Langue maternelle,"Langues créoles, n.i.a.",2135
548,Pays,Canada,Langue maternelle,Kannada,6240
549,Pays,Canada,Langue maternelle,Malayalam,54050
550,Pays,Canada,Langue maternelle,Tamoul,152850
551,Pays,Canada,Langue maternelle,Telougou,30045
552,Pays,Canada,Langue maternelle,Tulu,615
553,Pays,Canada,Langue maternelle,"Langues dravidiennes, n.i.a.",370
554,Pays,Canada,Langue maternelle,Géorgien,2180
555,Pays,Canada,Langue maternelle,Langues hmong-mien,565
557,Pays,Canada,Langue maternelle,Albanais,29265
558,Pays,Canada,Langue maternelle,Arménien,33720
561,Pays,Canada,Langue maternelle,Letton,4430
562,Pays,Canada,Langue maternelle,Lituanien,6130
564,Pays,Canada,Langue maternelle,Biélorusse,720
565,Pays,Canada,Langue maternelle,Bulgare,19035
566,Pays,Canada,Langue maternelle,Tchèque,20025
567,Pays,Canada,Langue maternelle,Macédonien,14795
568,Pays,Canada,Langue maternelle,Polonais,160170
569,Pays,Canada,Langue maternelle,Russe,197905
570,Pays,Canada,Langue maternelle,Russine,500
