Unique Well Identifier,Status,Surface Latitude,Surface Longitude
100/01-01-021-27W4/0,Closed,50.747744,-113.610782
100/16-36-020-27W4/0,Closed,50.747742,-113.611065
100/13-31-001-18W4/0,Active,49.087051,-112.410697
100/01-01-012-13W4/0,Active,49.963746,-111.647497
100/16-36-016-25W4/0,Closed,50.397926,-113.304177
100/01-01-024-16W4/0,Closed,51.011286,-112.102146
100/01-01-027-11W4/0,Closed,51.273630,-111.416253
103/16-36-029-23W4/0,Active,51.533387,-113.103779
100/01-01-035-13W4/0,Closed,51.971261,-111.724324
100/01-01-039-27W4/0,Closed,52.319393,-113.750650
100/01-01-059-14W4/0,Active,54.064055,-111.957479
100/01-01-064-25W4/0,Active,54.501791,-113.638325
100/01-01-066-26W4/0,Active,54.676116,-113.787269
100/01-01-118-02W6/0,Active,59.215511,-118.177634
100/01-02-015-23W4/0,Closed,50.223376,-113.056279
100/01-02-017-10W4/2,Closed,50.400516,-111.269712
100/01-02-018-22W4/0,Closed,50.485296,-112.914858
100/01-02-033-10W4/0,Closed,51.797297,-111.308874
100/01-02-052-23W4/0,Closed,53.455855,-113.273439
100/01-03-016-01W5/0,Closed,50.312538,-114.051142
100/08-03-016-25W4/0,Active,50.310586,-113.351580
102/14-34-029-21W4/0,Active,51.532846,-112.867413
102/01-03-030-23W4/0,Active,51.535676,-113.151230
102/01-03-058-07W4/0,Closed,53.977704,-110.951561
100/04-02-061-11W5/0,Closed,54.243167,-115.556737
100/07-03-063-25W5/6,Closed,54.414603,-117.684217
100/01-03-064-27W4/0,Active,54.502782,-113.993060
102/01-03-064-27W4/0,Active,54.504233,-113.994213
100/01-03-080-23W4/0,Closed,55.899447,-113.507267
100/01-03-092-03W6/0,Closed,56.944940,-118.381787
100/01-04-008-10W4/0,Active,49.614207,-111.295721
100/01-04-014-14W4/0,Closed,50.138078,-111.850761
100/02-04-016-27W4/2,Closed,50.312807,-113.648806
100/01-04-018-28W4/0,Active,50.487830,-113.786268
100/01-04-019-27W4/0,Active,50.574733,-113.677297
100/09-04-020-26W4/0,Active,50.662806,-113.540735
100/01-04-020-26W4/0,Active,50.662806,-113.541159
100/01-04-026-21W4/0,Active,51.184142,-112.868245
100/01-04-033-25W4/0,Closed,51.796779,-113.480961
100/01-04-034-20W4/0,Closed,51.883881,-112.772226
100/01-04-038-04W4/0,Closed,52.231578,-110.505913
