id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,order,type1,type2,ability1,ability2,ability3
1,bulbasaur,64,7,69,45,45,49,49,65,65,bulbasaur,bulbasaur,True,1,grass,poison,overgrow,chlorophyll,
2,ivysaur,142,10,130,60,60,62,63,80,80,ivysaur,ivysaur,True,2,grass,poison,overgrow,chlorophyll,
3,venusaur,263,20,1000,80,80,82,83,100,100,venusaur,venusaur,True,3,grass,poison,overgrow,chlorophyll,
4,charmander,62,6,85,65,39,52,43,60,50,charmander,charmander,True,5,fire,,blaze,solar-power,
5,charmeleon,142,11,190,80,58,64,58,80,65,charmeleon,charmeleon,True,6,fire,,blaze,solar-power,
6,charizard,267,17,905,100,78,84,78,109,85,charizard,charizard,True,7,fire,flying,blaze,solar-power,
7,squirtle,63,5,90,43,44,48,65,50,64,squirtle,squirtle,True,10,water,,torrent,rain-dish,
8,wartortle,142,10,225,58,59,63,80,65,80,wartortle,wartortle,True,11,water,,torrent,rain-dish,
9,blastoise,265,16,855,78,79,83,100,85,105,blastoise,blastoise,True,12,water,,torrent,rain-dish,
10,caterpie,39,3,29,45,45,30,35,20,20,caterpie,caterpie,True,14,bug,,shield-dust,run-away,
11,metapod,72,7,99,30,50,20,55,25,25,metapod,metapod,True,15,bug,,shed-skin,,
12,butterfree,198,11,320,70,60,45,50,90,80,butterfree,butterfree,True,16,bug,flying,compound-eyes,tinted-lens,
13,weedle,39,3,32,50,40,35,30,20,20,weedle,weedle,True,17,bug,poison,shield-dust,run-away,
14,kakuna,72,6,100,35,45,25,50,25,25,kakuna,kakuna,True,18,bug,poison,shed-skin,,
15,beedrill,178,10,295,75,65,90,40,45,80,beedrill,beedrill,True,19,bug,poison,swarm,sniper,
16,pidgey,50,3,18,56,40,45,40,35,35,pidgey,pidgey,True,21,normal,flying,keen-eye,tangled-feet,big-pecks
17,pidgeotto,122,11,300,71,63,60,55,50,50,pidgeotto,pidgeotto,True,22,normal,flying,keen-eye,tangled-feet,big-pecks
18,pidgeot,216,15,395,101,83,80,75,70,70,pidgeot,pidgeot,True,23,normal,flying,keen-eye,tangled-feet,big-pecks
19,rattata,51,3,35,72,30,56,35,25,35,rattata,rattata,True,25,normal,,run-away,guts,hustle
20,raticate,145,7,185,97,55,81,60,50,70,raticate,raticate,True,27,normal,,run-away,guts,hustle
21,spearow,52,3,20,70,40,60,30,31,31,spearow,spearow,True,30,normal,flying,keen-eye,sniper,
22,fearow,155,12,380,100,65,90,65,61,61,fearow,fearow,True,31,normal,flying,keen-eye,sniper,
23,ekans,58,20,69,55,35,60,44,40,54,ekans,ekans,True,32,poison,,intimidate,shed-skin,unnerve
24,arbok,157,35,650,80,60,95,69,65,79,arbok,arbok,True,33,poison,,intimidate,shed-skin,unnerve
25,pikachu,112,4,60,90,35,55,40,50,50,pikachu,pikachu,True,35,electric,,static,lightning-rod,
26,raichu,243,8,300,110,60,90,55,90,80,raichu,raichu,True,51,electric,,static,lightning-rod,
27,sandshrew,60,6,120,40,50,75,85,20,30,sandshrew,sandshrew,True,53,ground,,sand-veil,sand-rush,
28,sandslash,158,10,295,65,75,100,110,45,55,sandslash,sandslash,True,55,ground,,sand-veil,sand-rush,
29,nidoran-f,55,4,70,41,55,47,52,40,40,nidoran-f,nidoran-f,True,57,poison,,poison-point,rivalry,hustle
30,nidorina,128,8,200,56,70,62,67,55,55,nidorina,nidorina,True,58,poison,,poison-point,rivalry,hustle
31,nidoqueen,253,13,600,76,90,92,87,75,85,nidoqueen,nidoqueen,True,59,poison,ground,poison-point,rivalry,sheer-force
32,nidoran-m,55,5,90,50,46,57,40,40,40,nidoran-m,nidoran-m,True,60,poison,,poison-point,rivalry,hustle
33,nidorino,128,9,195,65,61,72,57,55,55,nidorino,nidorino,True,61,poison,,poison-point,rivalry,hustle
34,nidoking,253,14,620,85,81,102,77,85,75,nidoking,nidoking,True,62,poison,ground,poison-point,rivalry,sheer-force
35,clefairy,113,6,75,35,70,45,48,60,65,clefairy,clefairy,True,64,fairy,,cute-charm,magic-guard,friend-guard
36,clefable,242,13,400,60,95,70,73,95,90,clefable,clefable,True,65,fairy,,cute-charm,magic-guard,unaware
37,vulpix,60,6,99,65,38,41,40,50,65,vulpix,vulpix,True,66,fire,,flash-fire,drought,
38,ninetales,177,11,199,100,73,76,75,81,100,ninetales,ninetales,True,68,fire,,flash-fire,drought,
39,jigglypuff,95,5,55,20,115,45,20,45,25,jigglypuff,jigglypuff,True,71,normal,fairy,cute-charm,competitive,friend-guard
40,wigglytuff,218,10,120,45,140,70,45,85,50,wigglytuff,wigglytuff,True,72,normal,fairy,cute-charm,competitive,frisk
41,zubat,49,8,75,55,40,45,35,30,40,zubat,zubat,True,73,poison,flying,inner-focus,infiltrator,
